AT onwind,AT solar,AT ocgt,BA onwind,BA solar,BA ocgt,BE onwind,BE offwind,BE solar,BE ocgt,BG onwind,BG offwind,BG solar,BG ocgt,CH onwind,CH solar,CH ocgt,CZ onwind,CZ solar,CZ ocgt,DE0 onwind,DE1 onwind,DE2 onwind,DE offwind,DE solar,DE ocgt,DK onwind,DK offwind,DK solar,DK ocgt,EE onwind,EE offwind,EE solar,EE ocgt,ES0 onwind,ES1 onwind,ES2 onwind,ES3 onwind,ES offwind,ES solar,ES ocgt,FI0 onwind,FI1 onwind,FI2 onwind,FI offwind,FI solar,FI ocgt,FR0 onwind,FR1 onwind,FR2 onwind,FR3 onwind,FR offwind,FR solar,FR ocgt,GB0 onwind,GB1 onwind,GB offwind,GB solar,GB ocgt,GR onwind,GR offwind,GR solar,GR ocgt,HR onwind,HR offwind,HR solar,HR ocgt,HU onwind,HU solar,HU ocgt,IE onwind,IE offwind,IE solar,IE ocgt,IT0 onwind,IT1 onwind,IT2 onwind,IT offwind,IT solar,IT ocgt,LT onwind,LT offwind,LT solar,LT ocgt,LU onwind,LU solar,LU ocgt,LV onwind,LV offwind,LV solar,LV ocgt,NL onwind,NL offwind,NL solar,NL ocgt,NO0 onwind,NO1 onwind,NO2 onwind,NO offwind,NO solar,NO ocgt,PL0 onwind,PL1 onwind,PL2 onwind,PL offwind,PL solar,PL ocgt,PT onwind,PT offwind,PT solar,PT ocgt,RO0 onwind,RO1 onwind,RO offwind,RO solar,RO ocgt,RS onwind,RS solar,RS ocgt,SE0 onwind,SE1 onwind,SE2 onwind,SE3 onwind,SE offwind,SE solar,SE ocgt,SI onwind,SI solar,SI ocgt,SK onwind,SK solar,SK ocgt,co2_emission,objective_value
1.4491018737e-05,2.73841555447e-05,20363.9668175,1.46257268379e-05,2.92282040328e-05,3891.02334225,5.09664743124e-05,2.73832333565e-05,1.73035347312e-05,13391.7355737,1.32699308224e-05,5.91715065786e-06,3.07465701514e-05,10843.0846326,1.21350064813e-05,3.33454488819e-05,13175.1500844,1.74548395774e-05,2.28972845015e-05,12319.3858664,1.86856425497e-05,2.60233651203e-05,0.000477445197321,1.48165313866e-05,1.68043702469e-05,22678.1672469,40474.0201552,1.31863762762e-05,1.51888842853e-05,20028.2311227,36332.6361998,1.11552020804e-05,1.35284988152e-05,12495.7574945,1.13075236563e-05,1.29510684585e-05,1.65615907373e-05,2.83834836386e-05,5.8140965994e-06,3.81922509172e-05,26926.3697554,3.08854191615e-05,3.15665877589e-05,0.000116049837225,8.56567755519e-06,1.36917411926e-05,12816.2620559,1.52986006523e-05,2.17483623288e-05,3.31581263071e-05,44354.7629935,1.44564396108e-05,1.91194328614e-05,19685.3227739,0.00270975902351,126070.735694,1.29875582191e-05,1.19802986141e-05,15850.0657521,1.52398602711e-05,1.03934187339e-05,3.6237867739e-05,16084.6940713,1.50365675105e-05,7.29478225924e-06,2.93008930075e-05,5613.34621096,1.65795873215e-05,2.68503113199e-05,12451.6212425,56771.7314546,9.62936194771e-06,1.26843473699e-05,14722.8233255,9.96478937091e-06,1.2826403145e-05,1.9419701953e-05,6.25181676915e-06,3.19819202948e-05,34222.5888019,6.42089385204e-05,1.02295772868e-05,1.47397485261e-05,12832.4382219,3.37870485596e-05,1.66174934637e-05,1908.65112375,57263.7164133,1.12532651002e-05,1.44319699829e-05,12500.4236336,27852.9534325,1.40652554186e-05,1.61408940223e-05,17781.6269917,1.54277897985e-05,2.68489846312e-05,85672.7038819,1.31872226719e-05,1.33763814815e-05,15310.271332,2.27812355343e-05,2.42738858137e-05,3.66574689626e-05,1.22097153283e-05,1.46606838111e-05,12222.6524424,1.76863275164e-05,7.0749039096e-06,4.24287405021e-05,15413.6661226,1.00425890282e-05,1.4082759065e-05,6.79676735447e-06,2.46314586778e-05,9762.95800002,1.18348647578e-05,2.91029373561e-05,13768.5795361,2.01363968348e-05,2.16400400699e-05,2.66845195954e-05,132522.987731,8.58228058309e-06,1.57930762274e-05,14658.5159591,9.23396811967e-06,2.50780140791e-05,4331.04936999,1.48291918658e-05,2.40518303202e-05,11302.9452766,602316030.3791357,176426237835.8114
623.285993647,1.42065785025e-13,14487.5454932,654.296610834,1.41108363217e-13,14589.387426,1743.40418014,928.03194565,1.44338220202e-13,16046.9339263,597.211749585,271.267229659,1.38215756012e-13,14909.1101402,636.832786822,1.40264827715e-13,14357.0223437,775.548854725,1.41913403639e-13,14615.2327143,690.289773134,949.053651456,7154.91392658,497.658039984,1.43305820461e-13,14617.9273125,40324.9230218,475.287166032,1.46313459412e-13,14790.0530197,33362.2831369,394.924613364,1.45301167326e-13,12882.8402791,577.23369755,573.574157763,632.325871941,931.31469543,268.08088431,1.43071937955e-13,17404.5382237,925.661863948,958.769995006,2461.37637833,319.762749163,1.52812716826e-13,12978.5603611,650.48937058,774.837094427,1082.60914418,34585.453215,463.640748934,1.42895145635e-13,15695.052064,4474.46627545,125932.3128,420.484555552,1.51315906177e-13,11457.9535219,602.137511055,358.649629397,1.4012468573e-13,15089.5777224,786.094443817,349.858320138,1.40538581418e-13,14473.9411782,722.147684572,1.39240020346e-13,14626.9065037,55354.564691,339.117941743,1.54413101948e-13,11483.4557371,577.404626515,578.412722591,658.46197281,278.575092417,1.40606912519e-13,14287.1359644,1676.48158142,369.549162997,1.46489145215e-13,12870.0988772,1462.26666703,1.4097201007e-13,14692.8905192,41455.8345749,384.833268527,1.48037239904e-13,12902.9843096,27781.8748793,520.346153763,1.45203730743e-13,14635.5105212,599.046159091,816.584353079,65425.3114411,417.791479807,1.680475296e-13,11655.5741306,798.080182492,862.319832736,1255.01729621,509.414554776,1.45739838668e-13,15354.3349551,694.928210224,276.092212587,1.4137151533e-13,17846.1293668,553.005545208,593.789645005,302.833623629,1.38500816202e-13,14622.1316637,628.278726159,1.40233737939e-13,15181.7102772,721.169977103,749.859713736,832.514182903,131909.277434,332.969246945,1.53097373524e-13,12914.6639309,711.688078851,1.40935841597e-13,14472.6169836,712.051760478,1.39360675081e-13,14575.1776258,616727693.4095734,179954762592.58884
2.43735017889e-07,4.91195069904e-07,17322.0015351,2.092833778e-07,5.42693084843e-07,17289.7057919,6.48612940963e-07,2.44304495901e-07,3.11247873367e-07,20916.6655168,2.34608671666e-07,8.66110212066e-08,5.7717992351e-07,17789.7476136,2.12296803463e-07,5.95473578831e-07,17262.0877859,3.22097609347e-07,4.15225496378e-07,17152.3779565,3.05341596155e-07,4.30147828624e-07,7.23568611991e-06,2.83102549302e-07,3.49734730283e-07,17876.6671834,40474.0201607,2.66398468655e-07,2.72532677018e-07,17911.8156676,36332.6363412,1.87735491035e-07,2.56224910459e-07,14507.8087775,2.08156682423e-07,2.2199825939e-07,2.57678193304e-07,3.56826756153e-07,1.07656058524e-07,8.38863214248e-07,23275.5021815,5.47099064542e-07,5.75824657997e-07,2.29659704893e-06,1.62045099502e-07,2.51162233148e-07,16509.2426703,2.40302898872e-07,2.89250074334e-07,3.82027294208e-07,9.96368147519e-07,1.73883443294e-07,3.94894067678e-07,20657.816167,66134.1656251,126070.735743,2.16690459442e-07,2.49887285049e-07,12653.132638,2.71804817807e-07,1.68222780971e-07,6.76497803147e-07,17852.2421627,2.52241034569e-07,1.03638619647e-07,5.36486705257e-07,17241.3759957,2.54145190503e-07,4.99503787781e-07,17370.5662291,56771.7314681,1.76745830749e-07,2.28288808066e-07,12653.9218199,2.01992827687e-07,2.1697968725e-07,2.8538958851e-07,1.01621222534e-07,6.53410667786e-07,17470.5258931,1.41074376299e-06,1.85604966672e-07,2.62051481871e-07,14519.7706233,3.94465516014e-07,3.31511545792e-07,17856.2263773,57263.7166119,1.85469289274e-07,2.60370196537e-07,14511.5383558,27852.9534683,2.56927379915e-07,2.87120061676e-07,17757.7614664,2.52131929546e-07,3.78229817048e-07,2.67168235163e-06,1.6745564676e-07,2.52033489721e-07,21706.6003964,3.88525072784e-07,4.24079537438e-07,5.9692399735e-07,1.98944080081e-07,3.06328768932e-07,18009.4276229,2.83264796446e-07,1.04017212572e-07,7.69092566263e-07,23616.6145359,1.99280292338e-07,2.51958670617e-07,1.23576441701e-07,5.00179029137e-07,17561.4703389,2.11703108395e-07,5.40108680233e-07,17877.6077749,3.72732948932e-07,4.06371325118e-07,4.85827152212e-07,132522.98777,1.62538265086e-07,2.84780920712e-07,16488.1892902,1.79805483128e-07,4.91059403906e-07,17324.8349021,2.36573369516e-07,4.37833664361e-07,17125.1849548,664669856.7648627,179954762592.91763
2.32206163381e-06,3.02441452824e-06,13689.0991874,1.91252506156e-06,3.01969820926e-06,13839.7250702,6.65620105041e-06,3701.12297127,2.18354527991e-06,12727.4921938,2.10520122673e-06,9.28783923651e-07,3.16242308946e-06,14391.1512532,1.99510034842e-06,3.33044461807e-06,13613.6874921,3.15882994311e-06,2.71219429907e-06,13731.8914483,2.63623847025e-06,3.74314674356e-06,7.0520830662e-05,16388.7563756,2.44403858731e-06,12813.4110893,40474.0201607,4.28023413092e-06,2.02175470045e-06,12828.8152353,7812.65304089,2.0811340599e-06,1.92376121283e-06,11856.3075557,1.87738863267e-06,2.04520717338e-06,2.94445855764e-06,8.6225286332e-06,1.10616063624e-06,4.24585262121e-06,14011.5957522,5.14969349702e-06,4.26752117936e-06,1.38512474858e-05,1.52835332349e-06,1.9792341283e-06,10911.8742918,2.78942443676e-06,4.70138163166e-06,8.6508357197e-06,120019.509498,2012.10435056,2.64826769696e-06,12646.8017895,37272.2309172,126070.735743,4.61893982783e-06,1.87080507634e-06,9783.71436971,2.71232198156e-06,2.40718608941e-06,3.47426561472e-06,14460.3114286,3.33008519063e-06,1.86005151929e-06,3.06473538716e-06,13786.7131858,2.38211146443e-06,2.92140414125e-06,13748.0290129,56771.7314678,1.5983862402e-06,1.73321113601e-06,9797.77963844,1.74138142825e-06,2.08496941042e-06,4.82563441949e-06,1.20601712264e-06,3.44154606028e-06,13683.3210492,5.62579985383e-06,1.65272233364e-06,1.94427963901e-06,11631.8732951,7.21865086664e-06,2.32542356779e-06,12899.1419592,57263.7166081,1.79112530021e-06,1.94937579426e-06,11700.5684018,9286.5550984,1.12099140486e-05,2.08072632993e-06,12910.9813587,2.47470646208e-06,5.23704207672e-06,85672.7039587,15434.9260579,2.00977634445e-06,8243.95663037,3.56080742219e-06,4.04907788367e-06,6.72805237107e-06,1.82900656653e-06,2.19508176698e-06,14351.1405316,3.02333821721e-06,1.27740990891e-06,4.32261883614e-06,14172.6311878,1.60781369699e-06,2.16227851906e-06,1.7681745797e-06,2.97592530776e-06,14147.3190507,1.74099550538e-06,2.99570165628e-06,14454.4270099,3.20584293698e-06,3.06547083019e-06,3.44111260113e-06,132522.98777,1.53339725486e-06,2.17623028769e-06,10771.8990523,1.75234158008e-06,2.92587630542e-06,13710.2914334,2.19760110809e-06,2.73051166271e-06,13717.5979475,483588445.4464868,179954762592.8063
1.67633537972e-08,7.43776754074e-08,14270.0892924,1.47329971639e-08,9.88849866634e-08,14133.8260969,5.92535213146e-08,6.01783306432e-08,3.34344443662e-08,18442.8966609,1.56488140725e-08,6.86599002909e-09,1.14796789851e-07,14825.9787137,1.51686074057e-08,1.31328254727e-07,14226.3017215,2.17138424922e-08,5.16211264406e-08,14178.0878439,2.25859979912e-08,3.26796367427e-08,1.89053040063e-07,3.15306882617e-08,3.87257139098e-08,15346.0656735,40474.0201608,2.83293384461e-08,2.74883454306e-08,15307.6751346,7.0801962602e-07,1.94636164316e-08,2.58859172871e-08,19008.0841363,1.46102759061e-08,1.55495326715e-08,1.82473446107e-08,2.50577136864e-08,9.20808854478e-09,15333.2711765,20142.938742,3.22335855629e-08,3.45655489818e-08,8.3719509177e-08,1.5000234747e-08,2.4107945958e-08,13891.7152782,1.84087345407e-08,2.30409754618e-08,3.23034612958e-08,8.18832606077e-08,2.16907873956e-08,4.84371785377e-08,18301.368223,19299.0517863,126070.735743,2.50134244351e-08,2.48104812016e-08,10302.6523841,1.78249796031e-08,1.47074120393e-08,2.13328180275e-07,14902.5615145,1.98598984578e-08,1.01837156327e-08,9.45327836148e-08,14098.0524439,1.83414340064e-08,7.55109355859e-08,14309.6092024,56771.7314682,1.6687186476e-08,2.218604246e-08,10246.1821849,1.40476012479e-08,1.55039972183e-08,2.0341676813e-08,8.82899201053e-09,1.75947326684e-07,15015.4634011,6.14503040564e-08,1.84487364491e-08,2.66439449936e-08,18066.6182807,3.94631056863e-08,3.80536944234e-08,15241.0606831,3.54188975126e-07,1.9005804418e-08,2.63105152555e-08,18525.9338853,27852.9534683,3.17580281767e-08,2.99808743638e-08,15133.4194524,1.8485734539e-08,2.78724621591e-08,1.2325166795e-07,1.92263021508e-08,2.37461179669e-08,22587.3981051,2.55650128182e-08,2.76433229992e-08,3.80017311838e-08,2.11220442441e-08,3.26478458215e-08,16977.7479333,1.89151694091e-08,8.57697838341e-09,1.40243189654e-06,20560.4519232,1.37433686517e-08,1.66690129887e-08,1.06518628916e-08,7.92792404927e-08,14605.0083521,1.41938781095e-08,9.43204456945e-08,14821.1367117,2.39389718746e-08,2.55874320004e-08,3.11926608532e-08,132522.987771,1.60429245869e-08,2.80032159285e-08,13852.7352353,1.27289413346e-08,7.71967538216e-08,14247.5268942,1.65923487839e-08,5.70472726334e-08,14146.5228923,835242076.9802827,179954762592.56125
7.55979923334e-08,5.39663264865e-08,13968.0608062,6.33818109882e-08,5.35527107973e-08,14422.8598698,1.54841290259e-07,4.75257741494e-08,4.59098890892e-08,13003.2548499,7.16099785523e-08,1.83957030932e-08,5.23641972683e-08,14832.5277986,6.25773274129e-08,5.55888543097e-08,13842.9054462,1.00876424131e-07,5.21074971688e-08,14237.1400822,9.76259276611e-08,1.34865497657e-07,27898.8456351,4.85714790228e-08,4.91466557116e-08,13083.636503,40474.0201607,4.04569720997e-08,4.2734296597e-08,13204.3979961,36332.6363412,3.37132235485e-08,4.06597202803e-08,12028.5869261,6.79629763909e-08,7.56397293938e-08,1.15987342488e-07,5.60360939437e-07,2.55303375765e-08,5.52092124928e-08,13850.7479031,4.67155417347e-07,2.47954962132e-07,38421.6104512,3.14910594838e-08,3.9857304293e-08,11254.0545106,8.44360361834e-08,1.19365054036e-07,1.72064208656e-07,120019.509498,4.74618801049e-08,5.00142905273e-08,12810.7859514,41141.2316201,126070.735743,4.29275008432e-08,4.01769255582e-08,9961.08340129,1.02662213564e-07,4.46511388418e-08,5.50567187665e-08,15003.6074682,1.09878405118e-07,2.98715011186e-08,5.37758161746e-08,14315.5663107,8.21631058646e-08,5.29738949783e-08,14098.7248103,56771.7314681,3.29358495554e-08,3.75758682063e-08,9996.82687566,6.13479642094e-08,6.81120738513e-08,1.11634053583e-07,2.5160165953e-08,5.37740814244e-08,13813.3504028,4.12369449056e-07,3.26638710845e-08,4.16435135596e-08,12048.4496445,1.23721720173e-07,4.91706021056e-08,13145.4814507,57263.7166119,3.38407233787e-08,4.13854491809e-08,12049.6958241,27852.9534627,4.38664089001e-08,4.43706666102e-08,12938.6806576,8.24182702614e-08,1.6647149824e-07,85672.7039587,4.55981316812e-08,4.0114379989e-08,9903.40961757,1.41481316866e-07,1.60961662483e-07,2.8534870636e-07,3.93428499699e-08,4.58852367703e-08,15105.9711552,1.10953904941e-07,2.61591393885e-08,5.57806581481e-08,14089.0627904,5.76623078542e-08,8.34635258643e-08,3.01185625559e-08,5.09571176139e-08,14544.2675516,6.14339432763e-08,5.33437888972e-08,15101.1959898,1.56653298407e-07,1.44838507412e-07,1.48042208324e-07,132522.98777,3.19837422203e-08,4.34285744058e-08,11247.0403741,5.53296898458e-08,5.27325194652e-08,13949.2039608,7.34877875445e-08,5.21240816898e-08,14200.7607317,438814341.0745666,179954762593.88544
1.40298706732e-07,1.10185286763e-06,15084.9600853,1.22140947488e-07,1.42219328353e-06,15197.514313,4.48234708801e-07,2.75032751785e-07,3.60985932887e-07,17311.3502025,1.2811535985e-07,4.75873665005e-08,2.87962415414e-06,14448.3215261,1.26960592821e-07,2.36673995686e-06,15007.4867765,1.80606062491e-07,6.61319440863e-07,15235.8558956,1.79094184256e-07,2.56635351832e-07,1.30085613486e-06,1.63703362963e-07,4.44524821565e-07,15780.3444575,40474.0201607,1.52174791146e-07,2.90681253317e-07,15792.882862,30296.5505419,1.15957783901e-07,2.7762397897e-07,13396.9985432,1.19274832052e-07,1.28413788442e-07,1.58692718506e-07,2.56544240706e-07,6.42032298886e-08,148754.021008,18858.5388862,2.94713295207e-07,3.00486998544e-07,9.01841658157e-07,9.41261347089e-08,2.58982076677e-07,14060.951951,1.5632027843e-07,2.06713676767e-07,3.14118419996e-07,2.82363780046e-06,1.44582954443e-07,5.20811787153e-07,17210.5219708,2.0719900106e-06,126070.735743,1.4264664152e-07,2.44387919715e-07,12094.970834,1.515478914e-07,1.06816859304e-07,55777.0863247,14446.0173928,1.80707438615e-07,7.43035403075e-08,1.40591261516e-06,15152.4504981,1.57385133803e-07,1.1285996619e-06,15157.3278293,56771.7314681,9.99921701558e-08,2.15897918038e-07,12039.6629833,1.14270686987e-07,1.26459262255e-07,1.75579256976e-07,6.19211921336e-08,3.12428551178e-06,15231.3954281,5.54886485786e-07,1.09403919363e-07,2.81304639723e-07,13414.2070188,3.11490089938e-07,4.37417349896e-07,15783.0135649,37977.8910469,1.15045096159e-07,2.77924103608e-07,13420.4911826,27852.9534683,1.61311810138e-07,3.25086847798e-07,15625.7999067,1.50477596904e-07,2.51860188381e-07,64684.8733129,1.32745236901e-07,2.3815925354e-07,12271.2114578,2.16582225836e-07,2.37933607066e-07,3.4864854583e-07,1.41237547175e-07,3.48743666093e-07,16645.6938123,1.66703447178e-07,6.05990619922e-08,25748.164995,19011.9029439,1.10646166903e-07,1.3959398979e-07,7.38503769629e-08,1.23860097561e-06,14454.4696945,1.1758435046e-07,1.52111698281e-06,14603.8397333,2.04110643008e-07,2.1601089437e-07,2.50635387144e-07,132522.98777,1.00043547976e-07,2.98883788609e-07,14029.6722007,1.08069547568e-07,9.77650053674e-07,15090.9937331,1.40078841564e-07,7.87663264258e-07,15223.8789286,579779003.9300137,179954762592.3643
1.01140286232e-07,1.01026721369e-07,17157.2298371,8.67376565949e-08,1.04693972482e-07,17129.3907471,2.60637747275e-07,1.03657522645e-07,8.2398109451e-08,20883.5892494,9.75554703879e-08,3.72288029442e-08,1.0543636534e-07,17629.6708152,8.80967456266e-08,1.06885637344e-07,17112.9020059,1.32018799266e-07,9.40211721044e-08,16973.5603047,1.26073933515e-07,1.7446477973e-07,1.72055889095e-06,1.21879837385e-07,8.63666412985e-08,17823.0649903,40474.0201607,1.14293741834e-07,7.58339121886e-08,17879.4097008,36332.6363412,8.00848800667e-08,7.21643826597e-08,14321.323507,8.77193538642e-08,9.26169059442e-08,1.06435236414e-07,1.40895884726e-07,4.61516292848e-08,1.20918191457e-07,23505.7006562,2.11726659695e-07,2.22511270628e-07,6.70224328144e-07,6.93015845671e-08,7.14062309481e-08,16219.7492254,9.95376847601e-08,1.17851621076e-07,1.51686082153e-07,3.44962625775e-07,7.35349734234e-08,9.2619720427e-08,20599.1143587,47216.6405204,126070.735743,9.10164827735e-08,7.270156482e-08,12497.7295129,1.11486428857e-07,7.07546681622e-08,1.11103413615e-07,17689.6411832,1.03738901541e-07,4.43206676655e-08,1.04101781531e-07,17082.8323924,1.04669209512e-07,1.0059638876e-07,17199.9869926,56771.7314681,7.58473983795e-08,6.87931149546e-08,12520.7562476,8.52478844173e-08,9.04704294045e-08,1.16574282793e-07,4.34052532437e-08,1.11388290607e-07,17432.5208343,4.75135181375e-07,7.91262999662e-08,7.39894882448e-08,14328.635191,1.56807762552e-07,8.51947774814e-08,17830.4984577,57263.7166119,7.90282375614e-08,7.35478319063e-08,14324.8341974,27852.9534683,1.11466660429e-07,7.84393242314e-08,17682.049404,1.0492951234e-07,1.51170544311e-07,8.05786764174e-07,7.03990350747e-08,7.37362956423e-08,23720.5749365,1.5480081895e-07,1.67317244035e-07,2.27129369276e-07,8.47647122083e-08,8.13649949686e-08,17826.2982405,1.16333222613e-07,4.47862011406e-08,1.17103061591e-07,23849.5317659,8.44439424497e-08,1.04168159394e-07,5.31552395263e-08,1.00446084066e-07,17424.3009198,8.80550339339e-08,1.03913447321e-07,17734.5241623,1.50344447501e-07,1.62395502559e-07,1.91768581826e-07,132522.98777,6.92362716306e-08,7.78158767559e-08,16184.0721853,7.44269520187e-08,1.01163057147e-07,17168.5503579,9.73312771898e-08,9.54860063258e-08,16951.9322237,686431073.9855399,179954762593.46548
2.92069962023e-07,3.94360993339e-07,17180.1678401,2.48516163564e-07,4.09191277417e-07,17462.7794304,7.738557141e-07,2.40957262488e-07,2.81396631057e-07,20269.043148,2.80649622297e-07,9.5943870219e-08,4.25753652867e-07,17808.3453542,2.49274278263e-07,4.42574760064e-07,17038.9987926,3.91055555845e-07,3.51545702622e-07,17265.2785804,3.603704881e-07,5.11992309382e-07,20193.26408,2.83117608119e-07,3.11257321792e-07,16996.9782492,40474.0201607,2.7044975807e-07,2.55029258225e-07,17136.3398832,36332.6363412,1.96149379545e-07,2.44582824858e-07,15208.934915,2.45319468387e-07,2.62107734753e-07,3.11983557004e-07,4.56822270808e-07,1.17280172214e-07,5.18351663228e-07,21539.7143298,7.25881034069e-07,7.58372738042e-07,1.00152098314e-05,1.71773679032e-07,2.41693234178e-07,17079.547667,2.82638306185e-07,3.48634031516e-07,4.73281475411e-07,1.85446211218e-06,1.84929892135e-07,3.36865329238e-07,19884.6530356,72616.0284056,126070.735743,2.19506997352e-07,2.37507684337e-07,12892.8024666,3.28104931833e-07,1.84887373318e-07,4.74597668638e-07,17962.2899634,3.02576611104e-07,1.14752874704e-07,4.08472003286e-07,17352.6721076,3.08218177811e-07,3.89865455779e-07,17330.7261636,56771.7314681,1.82646171367e-07,2.19708390049e-07,12939.6668004,2.30889157699e-07,2.53578700131e-07,3.48432132172e-07,1.09849034866e-07,4.623383101e-07,17187.0130296,2.15269677384e-06,1.92917731099e-07,2.49184392619e-07,15212.7346836,4.82154180474e-07,2.97374508798e-07,17045.1058806,57263.7166119,1.93394864305e-07,2.48407259278e-07,15227.6844845,27852.9534672,2.54768838867e-07,2.66449692409e-07,16903.1246215,2.95845299993e-07,4.62529040958e-07,24604.9984195,1.79762978401e-07,2.43461891106e-07,17078.4654271,4.71277706976e-07,5.200611919e-07,7.66946070704e-07,2.07504541447e-07,2.80593732471e-07,18520.1856156,3.51052487674e-07,1.14700953392e-07,4.873200475e-07,22059.284109,2.36321848854e-07,3.04558842343e-07,1.36122638284e-07,3.90092007425e-07,17523.1658645,2.5420692909e-07,4.07017080696e-07,18099.7990101,4.58719334308e-07,5.03291440732e-07,5.93660721321e-07,132522.987771,1.70025364156e-07,2.66890894986e-07,16974.5636329,2.14278064594e-07,3.86442469576e-07,17151.2028582,2.85341068506e-07,3.60326838235e-07,17222.6943577,610444505.9951609,179954762592.95932
8.27111256725e-07,6.4971128995e-06,14975.1079065,7.28856654657e-07,8.44357049411e-06,15004.4801358,2.64232133848e-06,1.55387409385e-06,2.11948397877e-06,17119.5249281,7.57184585886e-07,2.84526053457e-07,1.71655943135e-05,14442.6200331,7.50711980917e-07,1.39963643052e-05,14893.0771507,1.06689977134e-06,3.90700031635e-06,15167.9469442,1.04545360901e-06,1.50080730372e-06,7.84005839911e-06,9.33180354014e-07,2.61981106649e-06,15682.9435287,40474.0201607,8.6642038552e-07,1.71735195619e-06,15664.5181907,29915.2715178,6.62828444436e-07,1.64975168137e-06,13598.0316461,7.02100595027e-07,7.53475295533e-07,9.28212746305e-07,1.50736298734e-06,3.70236804239e-07,135731.223711,18476.8729115,1.72502154684e-06,1.75695045583e-06,5.33678201943e-06,5.39120857729e-07,1.55723857569e-06,14096.7317527,9.10942075609e-07,1.2063776752e-06,1.84692352152e-06,2.13142813469e-05,8.2105780185e-07,3.05957563324e-06,17033.3842747,1.18961325676e-05,126070.735743,8.09718927033e-07,1.44472261237e-06,11995.7543426,8.8654727802e-07,6.12715382665e-07,55777.086324,14454.6480172,1.06115611268e-06,4.34062786524e-07,8.30811450416e-06,14957.5063538,9.33276310882e-07,6.69530749936e-06,15040.7274617,56771.7314679,5.72363857781e-07,1.27623091342e-06,11925.9915695,6.71957073399e-07,7.40983938716e-07,1.02801795873e-06,3.57699172563e-07,1.81560277085e-05,15213.5751129,3.27889253187e-06,6.29296152534e-07,1.65774700284e-06,13531.6238368,1.87368557386e-06,2.5585370716e-06,15639.3924151,39303.8022506,6.58003870701e-07,1.64839783743e-06,13573.061057,27852.9534682,9.16632904462e-07,1.91362727829e-06,15517.9043691,8.75880850841e-07,1.4630156252e-06,71567.9229452,7.52750962337e-07,1.43603436625e-06,12905.5859853,1.26264833624e-06,1.38835893807e-06,2.03356431805e-06,7.94599611799e-07,2.0614185822e-06,16623.7569182,9.8411555246e-07,3.53497318722e-07,38532.0547469,18523.1678453,6.55775158832e-07,8.20405119129e-07,4.2919167958e-07,7.33016850155e-06,14404.5396775,7.03832733089e-07,9.03624055932e-06,14623.96301,1.18926704602e-06,1.26002863286e-06,1.45809580492e-06,132522.98777,5.70470602348e-07,1.79303994482e-06,14035.1623088,6.56723997949e-07,5.69159412071e-06,14971.5815608,8.3587767391e-07,4.64678738891e-06,15152.0840959,571860934.7292231,179954762592.47754
