DK onwind,DK offwind,DK solar,DK ocgt,SE onwind,SE offwind,SE solar,SE ocgt,DK onwind g,DK offwind g,DK solar g,DK ocgt g,SE onwind g,SE offwind g,SE solar g,SE ocgt g,SE-DK,co2_emission,objective_value,transmission,gini
19702.9140191,1.3215461998e-12,3.88056290686e-12,11974.9240833,7386.08150284,1.49658565343e-12,4.47297906942e-12,16330.6245629,75309039.67115335,4.601041533616329e-09,2.5929051961108445e-09,26509944.903722808,18688851.114870735,4.654534039324505e-09,3.1162611899617668e-09,52993282.31027033,12086.7353298,38161549.06271669,10359536941.000006,12086.7353298,0.3874720886517057
23179.6272605,515.15722844,760.01780931,13406.5969532,4.04303868429e-12,5.87997193019e-12,892.187103632,16687.0777162,88237459.58500624,2017016.3631440224,482314.2426375928,30196752.47651081,4.1271074177890375e-09,1.5888142404451786e-08,567891.075067784,51999684.2576321,15985.1559781,39454289.63238893,10566727679.816336,15985.1559781,0.497641742385197
8529.58305031,4.79508936271e-08,7.17081939063e-08,6574.97394586,18475.2021821,7.94075233491e-08,1.00324971627e-07,21372.8431654,32790745.7573322,0.00018437257400797413,4.555522420948087e-05,14256910.33765592,48536855.58040974,0.0002784992599004219,6.653626320746033e-05,77916606.3240249,3176.62755362,44243287.99760634,10566727679.82868,3176.62755362,0.07178923247756075
30929.4943932,1.0302742349e-09,2.79474469939e-09,13828.8013905,5.2150815399e-09,9.22136900476e-10,3.00159197475e-09,16348.2665981,106188798.55537882,3.431243174399578e-06,1.7970115136609903e-06,26305095.396189466,1.0881864503841182e-05,2.7378763495196074e-06,1.9709986563986205e-06,41007224.04844465,17504.0000038,32309913.33342423,10566727679.820265,17504.0000038,0.5642715798035822
10898.1602643,8.37642592582e-08,1.16541960319e-07,7980.648212,21386.2556549,1.07711526522e-07,1.55497321511e-07,19621.0355218,40027780.81124026,0.0002988818887834784,7.207095182340147e-05,15869185.690520922,54827829.341837905,0.00034060345937497684,0.000101491714237396,62776322.15559133,4691.47594055,37749843.76613477,10566727679.832422,4691.47594055,0.12279357474878638
25259.9749576,1.69429958602e-05,2.72548436142e-05,12089.9105381,10355.4490943,1.58131210904e-05,2.7291422604e-05,15420.2638286,85264478.19416605,0.05590525492818271,0.016668087445908853,22562520.532711092,25204574.896859024,0.045968796693014236,0.016934236319875062,40469544.24079752,12845.7362326,30255391.091284003,10566727679.816093,12845.7362326,0.4221001895759786
30929.4943927,4.49313520826e-08,1.2672996551e-07,13864.1341662,8.24922060098e-08,3.09317571512e-08,1.37854913409e-07,16312.9338223,106188799.48094645,0.0001477560894410928,8.156571206648078e-05,26440362.533390936,0.0001585684237787694,8.760538216401296e-05,9.104559857702359e-05,40871955.98509982,17504.0009601,32309912.88887633,10566727679.832125,17504.0009601,0.5650512177942498
17062.1451905,4.93698150437e-06,1.96785555508e-05,11928.9005301,3.2486516876e-05,5.48310173313e-06,2.30471972414e-05,18479.9832604,68041363.11275966,0.019401942059363478,0.01444939539858065,28740012.818269063,0.08105648168324261,0.018986913940771788,0.01744615986364863,76719741.91763826,11392.1399603,50620682.27323558,10566727679.698961,11392.1399603,0.3584370676209456
30086.0207927,4.65646810449e-06,1.14004822913e-05,13467.3263489,1938.44819472,4.97650640883e-06,1.2011353427e-05,16179.7221786,102941361.42598896,0.015815440041385506,0.007275754630512568,25287825.504515015,4518097.414641525,0.015312331678236651,0.007712635719521636,40753833.60874088,16616.8129811,31699996.37436273,10566727679.826006,16616.8129811,0.5396912944018798
10898.1165586,1.67393682974e-07,2.29522267393e-07,7980.58046845,21386.2556532,2.14969848521e-07,3.03691905279e-07,19621.1079605,40028093.98043335,0.0005946340965553508,0.00014139133173558672,15862582.162792176,54827380.78783441,0.0006768583898332421,0.00019742739004829845,62783061.06733413,4691.4377307,37749908.75045926,10566727679.813099,4691.4377307,0.12275731931571843
