DK onwind,DK offwind,DK solar,DK ocgt,NO onwind,NO offwind,NO solar,NO ocgt,SE onwind,SE offwind,SE solar,SE ocgt,DK onwind g,DK offwind g,DK solar g,DK ocgt g,NO onwind g,NO offwind g,NO solar g,NO ocgt g,SE onwind g,SE offwind g,SE solar g,SE ocgt g,NO-DK,NO-SE,SE-DK,co2_emission,objective_value,transmission,gini
36514.6813479,1.18359373938e-06,4.80728550077e-06,21569.0365173,1.35284296027e-05,1.88287163032e-06,1.79254515991e-06,13083.0981901,7918.37843851,1.29799057853e-06,4.26393425553e-06,14446.2122291,139503085.85901138,0.004147810203068616,0.002737579188510482,43355753.84135691,0.02675976112405819,0.006050711636443159,0.0008960761480944681,42039176.20208072,20316902.12352615,0.0040184328903320335,0.0029966076724098093,51436612.9264193,15218.5466622,7.33023595878e-06,11719.6775861,65679140.62553103,17709168983.06696,26938.224255630237,0.5338552373868457
38256.8971693,371.222012272,578.403328722,14849.5447438,2969.72908213,621.266624692,816.756997636,16558.4471207,7.73093739675e-16,8.58861164518e-16,920.605678253,18032.2218245,146952695.22956026,1382107.4509268769,373151.91194155597,35462909.27004962,6016579.244795766,2068421.6370402295,423500.9753232397,46761563.01965286,9.743143998815476e-13,2.406666199155317e-12,630503.7500373403,56580098.51067008,14076.3378276,807.470403554,15273.8493765,66626193.984179005,18063352362.732388,30157.657607654,0.5114052867678984
34958.6733921,482.148960804,664.020379947,14435.268132,3.08911156047e-13,3.02114477016e-13,693.779642728,15962.5674256,8554.52224358,539.282743398,815.69391796,18673.5002878,133661192.24418263,1855986.6993991926,435816.1295255317,33474548.358293727,3.8171261494851595e-10,6.983815542184828e-10,346910.3359998803,43818256.52432942,21529054.386274382,1812535.6327839596,540233.6590824455,59176997.03012849,15513.836406,1095.98907246,11139.9288184,65505504.918121465,18063352362.727417,27749.75429686,0.5010437509811105
40474.0201591,3017.42014279,0.000104822949609,15497.4456277,0.000275640601481,5.76812620237e-05,5.47647508096e-05,17190.4555277,0.0063875761137,4.10815739044e-05,0.000124346144807,18416.1146801,156209244.9567713,9760423.602286445,0.07036795215144595,33380587.81064918,0.5310537416862516,0.18726033748379328,0.027223974396711956,44768851.13353138,15.149936789039884,0.13192417767251238,0.08592856593707458,52532407.31307964,15573.0000022,0.000123465480864,16184.0003063,62727286.20348459,18063352362.733185,31757.000431965484,0.5582403527717047
33558.8819631,2.52078837749e-08,7.27510627585e-08,13502.5322553,17603.5640098,3.58970162099e-08,3.79019614566e-08,16422.7124451,3.657054822e-07,2.94365044512e-08,7.28466939432e-08,16346.1680341,127163567.71375269,9.114453325234999e-05,4.967961669230181e-05,31411397.583422665,38796774.52561294,0.00011380622763625785,1.946688340634575e-05,49642932.47633375,0.0008625294743106856,9.583688658225163e-05,5.079559494128067e-05,49636858.699583665,8107.60265621,2.59150721718e-07,16014.9999994,62731770.60448125,18063352362.733704,24122.602655869152,0.48807867099144564
24138.5860338,2.7475589485e-06,3.82532645568e-06,11699.3974066,9.36079912573e-06,3.25978761415e-06,3.84250366447e-06,14192.5765888,31132.7019371,3.29888626359e-06,3.98502827331e-06,20738.3751368,91013478.01145661,0.010173704455217756,0.002398480127470724,26230872.24179289,0.01732666255994137,0.010321277824700058,0.001912686983815887,40101148.18077704,77035566.53214398,0.01005071629777641,0.002431319237399201,62270465.97921968,14827.7668754,848.233120172,1957.6837215,61729193.47285904,18063352362.713684,17633.683717072003,0.4102638114252375
17900.9171035,1.10797923723e-06,1.61471830138e-06,9528.57930163,2647.74180156,2.10112525186e-06,1.40114945714e-06,14713.8527952,21720.1989867,1.51172798019e-06,2.23586696821e-06,22982.4772089,71210185.76073654,0.004459392883064941,0.0011042475754356905,22854605.60917966,5978689.261113658,0.007463818051231965,0.0007569145790803021,57385757.75957476,56884593.23319804,0.005224090059123324,0.001573193602885606,82337699.35561787,11250.915121,8.94213860966e-05,1303.44991702,78037470.10769966,18063352362.72482,12554.365127441386,0.29528880896676624
40474.0201608,3017.4204857,1.20744851695e-07,15527.3376698,1.26794814762e-08,1.16201465793e-08,7.56428207784e-08,17200.3781667,2.42417697686e-08,1.89655579102e-08,1.44917247711e-07,18376.3020094,156209353.64204302,9760317.607904132,8.033588137789293e-05,33571046.58868434,1.6087164143714707e-05,2.838466554423288e-05,3.8004232069293494e-05,44829463.720951036,3.976117629580872e-05,5.224151120002884e-05,9.942899289112748e-05,52281349.44006529,15573.0,1.60364963359e-07,16184.0,62727292.67985202,18063352362.73374,31757.000000160366,0.5584353635434379
38334.5563365,5.90022591107e-06,1.40921508174e-05,13404.1135994,9092.29506312,7.74717690347e-06,8.61706474356e-06,15181.1706874,12607.1207497,6.85966603259e-06,1.49275324083e-05,16962.7638416,134764747.92681137,0.01982773724145838,0.008991599960875087,27204429.9301859,19002337.311327744,0.02336174802854981,0.004229605119943254,37805656.07487278,31340038.64856301,0.020526286056832228,0.009826282536084842,46534321.02148063,12635.5785979,3.06919517751e-05,11434.4499135,53541315.372739024,18063352362.726677,24070.028542091954,0.44869040347759426
35526.5618546,2.30804857236e-07,5.66876685768e-07,13608.7780005,17364.4690392,3.29684084766e-07,3.2472913421e-07,16198.0008052,3.13191606369e-06,2.63337020204e-07,5.67997382404e-07,16343.4248725,132719618.00742447,0.0008274659516217897,0.00037808715851490594,30777697.113803547,37917869.040599056,0.0010388597177056116,0.00016124829033688297,47119117.74745677,0.007297304801286976,0.0008451661624549014,0.00038313391978562827,48117229.079787955,8662.51488221,2.23111465601e-06,16339.0000007,60486741.0917021,18063352362.722183,25001.514885141114,0.5014271801837589
