AT onwind,AT solar,AT OCGT,BA onwind,BA solar,BA OCGT,BE onwind,BE offwind,BE solar,BE OCGT,BG onwind,BG offwind,BG solar,BG OCGT,CH onwind,CH solar,CH OCGT,CZ onwind,CZ solar,CZ OCGT,DE0 onwind,DE1 onwind,DE2 onwind,DE offwind,DE solar,DE OCGT,DK onwind,DK offwind,DK solar,DK OCGT,EE onwind,EE offwind,EE solar,EE OCGT,ES0 onwind,ES1 onwind,ES2 onwind,ES3 onwind,ES offwind,ES solar,ES OCGT,FI0 onwind,FI1 onwind,FI2 onwind,FI offwind,FI solar,FI OCGT,FR0 onwind,FR1 onwind,FR2 onwind,FR3 onwind,FR offwind,FR solar,FR OCGT,GB0 onwind,GB1 onwind,GB offwind,GB solar,GB OCGT,GR onwind,GR offwind,GR solar,GR OCGT,HR onwind,HR offwind,HR solar,HR OCGT,HU onwind,HU solar,HU OCGT,IE onwind,IE offwind,IE solar,IE OCGT,IT0 onwind,IT1 onwind,IT2 onwind,IT offwind,IT solar,IT OCGT,LT onwind,LT offwind,LT solar,LT OCGT,LU onwind,LU solar,LU OCGT,LV onwind,LV offwind,LV solar,LV OCGT,NL onwind,NL offwind,NL solar,NL OCGT,NO0 onwind,NO1 onwind,NO2 onwind,NO offwind,NO solar,NO OCGT,PL0 onwind,PL1 onwind,PL2 onwind,PL offwind,PL solar,PL OCGT,PT onwind,PT offwind,PT solar,PT OCGT,RO0 onwind,RO1 onwind,RO offwind,RO solar,RO OCGT,RS onwind,RS solar,RS OCGT,SE0 onwind,SE1 onwind,SE2 onwind,SE3 onwind,SE offwind,SE solar,SE OCGT,SI onwind,SI solar,SI OCGT,SK onwind,SK solar,SK OCGT
0.000209095871406,0.000397303735076,19657.6933005,0.000169393939435,0.000437244781053,3838.46554899,0.000797864017248,0.000370803845699,0.000253810724845,14020.002757,0.00018723759065,6.99728385404e-05,0.000452553244707,11029.6520619,0.000188110012434,0.000485259390503,13481.2135177,0.000265229159632,0.000333509666175,12270.5104856,0.000275134219371,0.000390328920212,0.00800391517657,0.0002487351951,0.000244429506387,22146.0526188,40474.0200972,0.000209394841269,0.000219035691515,19532.8237763,36332.6358206,0.000166018148001,0.000210847454884,12176.9440931,0.000171565654531,0.000206669105798,0.00024092069872,0.000395009192188,8.44256142571e-05,0.000526597381461,27114.5345974,0.000446712461317,0.000429490527926,0.00188322007239,0.00013322300125,0.000203025863245,12809.00824,0.000233765642365,0.000327148189422,0.00049296692332,44354.7648229,0.000206900646885,0.000278043539584,20462.663956,0.0452017094698,126070.735191,0.00019358339407,0.000179151467459,15932.1025939,0.000237757356684,0.000150203514058,0.000531585528733,15408.2138204,0.000271860581108,0.000101245130083,0.000437821538567,5827.22534979,0.000244407027225,0.00038060556368,12530.6407124,56771.7313655,0.000141616238818,0.000185872192853,14949.3537986,0.000255069947214,0.000187912373429,0.000280859495703,8.58650644388e-05,0.000462320950709,36279.9202969,0.00094982976287,0.000141640969614,0.000214271444555,12180.3672766,0.000425982585911,0.000197035686273,1930.51890064,57263.7132662,0.000161510301362,0.0002110319748,12002.9286049,27852.9533652,0.000229834867554,0.000232791062025,17067.7266483,0.000215580856317,0.000389451311706,85672.7026951,0.000187492428327,0.000196358109623,15498.8429562,0.000338354592133,0.000358237617592,0.00054006117728,0.00017513051131,0.000214449994828,11997.6529237,0.00025215737432,9.1244652419e-05,0.000602662672343,15001.8769719,0.000155660988816,0.000213085940885,0.00010302332043,0.00035555985267,10134.1787668,0.000178491849757,0.00042616215301,12550.5700672,0.000310406234654,0.000321253472337,0.000376877939808,132522.987315,0.000129209154553,0.000231922486237,14830.6888482,0.000145711881726,0.000352122590147,5367.40028252,0.000210117692721,0.000355026904323,11323.5935442
2482.01444049,3736.91338552,13674.2522475,2529.85753294,3895.00260856,13439.8773066,6232.55641151,3233.29985776,2729.04334681,15450.7372134,2413.16644768,1092.00938125,3999.45094248,14036.8500245,2461.93740125,4215.32266761,13611.2553006,3053.78954472,3206.08147692,13877.16539,2693.04151249,3503.24078538,33076.8489211,1906.87031429,3091.4866146,14434.6511787,40079.7833322,1772.9914463,2613.92058175,14504.224951,28724.2348735,1457.59553206,2499.65561655,12891.4076822,2308.34856321,2306.62431585,2521.90543995,3446.5138319,1049.31137072,5097.38292661,17056.6717723,3363.18674235,3407.19480573,5880.60869053,1202.12611243,2720.63382099,13184.6739928,2518.11743893,2921.84604831,3793.56991314,39390.7442116,1679.50118441,3326.99597589,15319.4655236,5092.90423387,75583.8491355,1338.57900749,2335.91131371,12353.7469308,2445.59930411,1374.56776705,4491.21209841,14096.8103273,2918.13795641,1327.27422194,3944.69301373,13396.2652548,2787.50073553,3574.07809145,13718.6087914,56720.382881,1212.07250331,2243.17810958,12348.3113395,2358.0785982,2332.00206015,2545.51526155,1093.77949214,4330.11140276,13703.5230636,5142.86272385,1370.19013976,2412.55148365,12855.8548273,3784.52502891,2465.33687483,14425.6374328,29655.9212751,1410.30420865,2515.5493363,12895.5982928,27664.2678338,1963.11796226,2644.17825802,14452.3238417,2366.85049473,3021.87367801,31900.9767704,1461.8666891,3014.90511022,13648.855664,3141.42779149,3366.50151457,4673.99364936,1851.19197201,2779.89233373,16007.5869107,2775.25731923,1097.66509533,4456.56020927,17294.9846279,2203.77597286,2401.8842463,1230.82628604,3948.8589442,13804.9041199,2464.68542717,3868.78628989,14051.66146,2771.07919613,2822.03771577,2960.43319879,109406.192516,1188.31215453,2925.48858973,13105.7934188,2657.17165175,3501.66230046,13653.8579769,2721.91282874,3194.22671709,13858.1137564
2482.01444049,3736.91338552,13674.2522475,2529.85753294,3895.00260856,13439.8773066,6232.55641151,3233.29985776,2729.04334681,15450.7372134,2413.16644768,1092.00938125,3999.45094248,14036.8500245,2461.93740125,4215.32266761,13611.2553006,3053.78954472,3206.08147692,13877.16539,2693.04151249,3503.24078538,33076.8489211,1906.87031429,3091.4866146,14434.6511787,40079.7833322,1772.9914463,2613.92058175,14504.224951,28724.2348735,1457.59553206,2499.65561655,12891.4076822,2308.34856321,2306.62431585,2521.90543995,3446.5138319,1049.31137072,5097.38292661,17056.6717723,3363.18674235,3407.19480573,5880.60869053,1202.12611243,2720.63382099,13184.6739928,2518.11743893,2921.84604831,3793.56991314,39390.7442116,1679.50118441,3326.99597589,15319.4655236,5092.90423387,75583.8491355,1338.57900749,2335.91131371,12353.7469308,2445.59930411,1374.56776705,4491.21209841,14096.8103273,2918.13795641,1327.27422194,3944.69301373,13396.2652548,2787.50073553,3574.07809145,13718.6087914,56720.382881,1212.07250331,2243.17810958,12348.3113395,2358.0785982,2332.00206015,2545.51526155,1093.77949214,4330.11140276,13703.5230636,5142.86272385,1370.19013976,2412.55148365,12855.8548273,3784.52502891,2465.33687483,14425.6374328,29655.9212751,1410.30420865,2515.5493363,12895.5982928,27664.2678338,1963.11796226,2644.17825802,14452.3238417,2366.85049473,3021.87367801,31900.9767704,1461.8666891,3014.90511022,13648.855664,3141.42779149,3366.50151457,4673.99364936,1851.19197201,2779.89233373,16007.5869107,2775.25731923,1097.66509533,4456.56020927,17294.9846279,2203.77597286,2401.8842463,1230.82628604,3948.8589442,13804.9041199,2464.68542717,3868.78628989,14051.66146,2771.07919613,2822.03771577,2960.43319879,109406.192516,1188.31215453,2925.48858973,13105.7934188,2657.17165175,3501.66230046,13653.8579769,2721.91282874,3194.22671709,13858.1137564
3217.83516908,1.51004609721e-13,13602.1759303,3232.59537689,1.46572922775e-13,13621.4139146,7870.67944355,2586.09236385,1.6951442785e-13,14760.282857,3134.1939909,1391.91969583,1.42842211484e-13,14142.288066,3149.58341135,1.4549134461e-13,13504.3115664,3868.469216,1.56087570052e-13,13722.6390457,3301.26667996,4158.9877202,35913.9347403,2312.0845785,1.6354310282e-13,14164.757083,40393.5921436,2175.30117033,1.74944673494e-13,14292.3622526,28760.7314954,1779.79459182,1.75270277851e-13,12771.2022281,2955.02033253,2954.65273071,3171.37518993,4053.54217403,1359.24746077,1.43375666431e-13,16325.2970183,4122.83991389,4173.01526254,7091.28736953,1490.357517,1.84283554962e-13,13117.1454484,3161.83960065,3520.75372075,4368.86952806,40316.7156425,1924.85006224,1.59218686168e-13,14530.6624978,6260.59325069,73915.039345,1594.17859734,1.8458709051e-13,12272.1808588,3121.51699811,1703.21193331,1.4119609205e-13,14261.651976,3645.68266604,1666.94883444,1.46246090232e-13,13534.1280232,3576.97858209,1.46648541071e-13,13684.5965224,56191.9394109,1492.73375892,1.88075386034e-13,12289.5440539,3080.56679618,2963.906819,3287.88574818,1394.44071951,1.45230077593e-13,13415.9695598,6213.25359576,1650.68812742,1.77013276803e-13,12728.9691592,3784.75621858,1.64997206587e-13,14223.1404978,29841.5723156,1701.47608649,1.78490736109e-13,12780.3182529,27850.7407012,2354.70471686,1.73263997716e-13,14201.7376332,2964.60206141,3592.06898471,32524.0232631,1701.69321649,2.01228506541e-13,13339.1187624,3706.69581346,3927.84589792,5144.31006951,2080.15548651,1.71475043512e-13,15560.6689146,3525.55529096,1416.31361221,1.41270889401e-13,16644.9443556,2882.00192215,3092.83844189,1550.93982588,1.4608551054e-13,13778.7281932,3205.02120662,1.44782816563e-13,14168.8315867,3418.64812725,3503.16303049,3671.81151652,106721.064886,1435.05102983,1.83733363743e-13,13038.763056,3396.3874607,1.50019963068e-13,13592.3412823,3486.66093693,1.5111950841e-13,13700.3571748
3.10839275061e-07,1.83301873038e-06,12423.8045519,2.83726029213e-07,2.47454958452e-06,12980.6787808,7.71431378283e-07,7.93230240045e-07,7.75347411347e-07,16526.6568616,2.95032810904e-07,1.48581953869e-07,3.08313484387e-06,13853.097442,2.88329951056e-07,3.45223041389e-06,12327.3466021,3.81471542001e-07,1.22723537941e-06,13042.505043,3.9458327349e-07,5.21506721576e-07,1.1933842491e-06,5.22802907236e-07,9.15028774146e-07,17966.4314348,40474.0201607,4.81978583122e-07,6.43851731781e-07,18097.6845927,1.34854847335e-06,3.66334508889e-07,6.13422592858e-07,22375.5469776,2.7919652945e-07,2.92253826161e-07,3.29023478106e-07,4.11601240444e-07,1.87439114288e-07,311445.693549,18413.9147146,5.09662054249e-07,5.38461276396e-07,8.72233997226e-07,2.93501624067e-07,5.79153906306e-07,21536.932961,3.32978397377e-07,3.93105117981e-07,4.98004848479e-07,7.9525090127e-07,3.87646436017e-07,1.15119208736e-06,15949.3127036,1.62255198679e-06,65461.9021258,4.41940485679e-07,5.85648712152e-07,12264.858757,3.24539391169e-07,2.78602693438e-07,6.13438062194e-06,13919.5094571,3.53109657766e-07,2.07493073309e-07,2.36775469154e-06,12992.0802821,3.33297238399e-07,1.84051931851e-06,12483.1236725,56771.7314681,3.2401259905e-07,5.25881120829e-07,11992.3443219,2.7088237919e-07,2.92539930473e-07,3.58101935512e-07,1.81038993879e-07,4.76929486844e-06,12151.3855236,7.45162946716e-07,3.46839360153e-07,6.24676933556e-07,22229.456641,5.76789621059e-07,8.78848750029e-07,17867.5939533,1.24524720567e-06,3.58379772366e-07,6.21083428562e-07,22436.4220605,2.07939473378e-06,5.30352378417e-07,6.98881917717e-07,17858.7643528,3.40192553676e-07,4.61869726912e-07,9.54954712888e-07,3.48973639388e-07,5.75586523679e-07,32256.3784424,4.31022429588e-07,4.56098992198e-07,5.66953416013e-07,3.91107065688e-07,7.69216945019e-07,19576.076489,3.38790178541e-07,1.76972788294e-07,36325.8313978,18505.6597073,2.67712992378e-07,3.08238935639e-07,2.1380747951e-07,2.00025529687e-06,13584.0840337,2.75022197663e-07,2.31680473606e-06,13721.9542687,4.12982332703e-07,4.35912164005e-07,5.10780780203e-07,3.25680319393e-06,3.1180517847e-07,6.72934433691e-07,21703.2760876,2.55483762457e-07,1.90793867664e-06,12428.1292318,3.09425805833e-07,1.36144720518e-06,13013.4016577
3.29474796913e-07,7.63914704912e-08,13168.4597148,2.24926397935e-07,7.37534777519e-08,13938.9534826,1.15899292502e-06,7.93791670564e-08,6.85048131177e-08,11827.4361756,2.64456744697e-07,3.977754423e-08,7.20066168614e-08,14532.9585452,2.48630917622e-07,7.49157690501e-08,13110.9895112,4.05245843244e-07,7.43960954692e-08,13285.0431595,2.90225985142e-07,4.02617804056e-07,102391.237219,7.39976380816e-08,7.29278043217e-08,11463.7289523,40474.0201608,7.22002983587e-08,6.65061746144e-08,11504.4248898,36332.6363412,6.16918400138e-08,6.50847390161e-08,11509.8473944,2.08274958687e-07,2.33598449839e-07,3.59522040908e-07,37462.2209204,5.24426772474e-08,7.11100574254e-08,12416.7492798,10754.7586584,9.89582703215e-07,105217.778265,5.82307238516e-08,6.51541833138e-08,10128.7503375,3.22796515395e-07,6.49489831364e-07,2908.1452814,120019.509498,7.0355100648e-08,7.19118477243e-08,11723.9829534,72616.0284063,126070.735743,6.75540584329e-08,6.44057945986e-08,9750.55185359,4.33596165434e-07,7.17511459345e-08,7.26079603978e-08,14626.3865006,4.46993041271e-07,5.26540741836e-08,7.39793720359e-08,13891.3236914,3.98635206008e-07,7.41880697873e-08,13245.4860064,56771.7314681,5.99423077493e-08,6.1224364359e-08,9767.59524558,2.15813696987e-07,2.46494717528e-07,8.21104196622e-07,4.95074207089e-08,7.12895777461e-08,13439.0107456,9339.31166532,5.35742882547e-08,6.60231547742e-08,11445.9880617,6.19251955082e-07,7.1839727524e-08,11498.7852081,57263.7166119,5.88682029571e-08,6.62198269026e-08,11492.5792579,27852.9534683,7.14388828426e-08,6.80544780079e-08,11463.889914,3.00588751263e-07,2.08315959721e-06,85672.7039587,7.90578856903e-08,6.68670190303e-08,10250.7980728,4.73620742612e-07,5.63361671921e-07,1.1750878867e-06,6.26243197184e-08,7.01460347802e-08,14006.7244156,5.90992360476e-07,5.16672816362e-08,7.07984678899e-08,12519.9261711,1.94779685457e-07,3.38425542313e-07,5.47895686963e-08,7.22246107191e-08,14317.1826355,2.24197074042e-07,7.3136943424e-08,14561.3758712,6.43274250288e-07,6.27146056433e-07,7.0912771502e-07,132522.987771,5.69809030845e-08,6.84914703364e-08,10168.6627348,1.95952051631e-07,7.44167524353e-08,13167.124205,3.16296987653e-07,7.26027379509e-08,13284.2195079
4.79849639083e-06,0.000231537653462,14060.5515332,4.23621842348e-06,0.000243201697714,13794.4932789,1.47709346121e-05,9.38627122441e-06,2.77923663379e-05,17527.7989597,4.34662451854e-06,1.67874210748e-06,61906.8010002,13826.4854724,4.45714386001e-06,0.00870338202142,14070.480061,5.97284457589e-06,6.34369337107e-05,14830.0594733,6.27880107062e-06,8.76709445969e-06,2.87568705486e-05,5.46839553189e-06,3.4825970317e-05,16891.7003395,40474.0201582,5.1486507628e-06,2.07945511306e-05,16996.669325,8.36126115991e-05,4.19448739515e-06,2.43309279275e-05,19111.6837648,4.16966459699e-06,4.47417642101e-06,5.36684797841e-06,7.82680567759e-06,2.28620197542e-06,311445.693538,19079.5294014,9.95082901367e-06,1.02323891739e-05,2.35622031878e-05,3.45078610449e-06,2.04477054414e-05,15396.4569089,5.45505481695e-06,7.04041182532e-06,1.0211875e-05,2.67228250986e-05,5.07586320342e-06,3.79289562529e-05,17333.4562974,4.03185325443e-05,126070.735742,5.00273723653e-06,1.82198003236e-05,11811.130344,5.14177778528e-06,3.43996086802e-06,55777.0863235,13858.5288716,6.12478874442e-06,2.6534103091e-06,0.000172243501897,13772.4412369,5.31538442459e-06,0.000227756587835,14045.1696671,56771.7314631,3.59382250278e-06,1.86660050394e-05,11799.3240261,4.23453540841e-06,4.44621079154e-06,5.70729161921e-06,2.21206968962e-06,29661.5060085,13772.0824017,1.60657649373e-05,3.95453429684e-06,2.34369380059e-05,18877.0405379,1.08204608224e-05,3.6898366351e-05,16875.0925436,6.93223158808e-05,4.18186628045e-06,2.38986002179e-05,19073.7206451,5448.93850814,5.52299535712e-06,2.52494903733e-05,16868.8210126,5.46898470607e-06,8.84348117311e-06,4.92355987326e-05,4.5867654463e-06,1.79810891103e-05,18675.4899847,7.13058010131e-06,7.75562973539e-06,1.03560097018e-05,4.52239726284e-06,2.8668907062e-05,19726.6788295,5.51709444064e-06,2.1419853544e-06,38532.0551054,19275.6076739,3.825870816e-06,4.69989591053e-06,2.60144383597e-06,149141.242827,13761.8629637,4.00579403152e-06,0.00035719508676,13788.4739367,6.99123343249e-06,7.32767313848e-06,8.60395815362e-06,132522.987768,3.6339876912e-06,2.24862795138e-05,15316.8136881,3.68143229482e-06,9.62047599775e-05,14028.4819823,4.68212344314e-06,9.81483104918e-05,14781.1401493
3.91681388897e-06,3.57372425761e-05,12356.8503084,3.65426519722e-06,6.10358152915e-05,12662.131929,9.55706508312e-06,9.6691799184e-06,1.14202201297e-05,18535.5218505,3.72499772008e-06,1.88447703708e-06,0.000149124621158,12428.742652,3.70283588726e-06,0.000130974001076,12308.8414863,4.78946793632e-06,2.00056711042e-05,13153.0050521,4.93300784665e-06,6.53567952885e-06,1.41468265566e-05,6.18175263552e-06,1.40456343538e-05,18070.3732011,40474.0201599,5.69997747901e-06,9.36658093315e-06,18104.5831355,1.67479813182e-05,4.43894747457e-06,8.90775026747e-06,23577.6354362,3.55987199897e-06,3.69173281854e-06,4.12445611267e-06,5.17885371242e-06,2.31540593756e-06,311445.693502,19999.2577688,6.38711062311e-06,6.72326761874e-06,1.07512731593e-05,3.58444682729e-06,8.52469278497e-06,19753.2623805,4.2069513848e-06,4.97410480954e-06,6.30339335412e-06,9.39781301513e-06,4.74737650599e-06,1.82288185879e-05,18099.9215066,1.91417181474e-05,70200.8049721,5.36523861475e-06,8.4039031635e-06,12404.6346478,4.07062592339e-06,3.39363019567e-06,55777.0863244,12281.5274545,4.45888425482e-06,2.57786008409e-06,5.519881747e-05,12614.113826,4.2472131666e-06,3.71287710338e-05,12465.248484,56771.7314681,3.92050799799e-06,7.43898192653e-06,11977.9665043,3.50360458083e-06,3.70881822513e-06,4.43799754164e-06,2.24905467935e-06,19196.829339,11539.8263335,9.29193422148e-06,4.20570383188e-06,9.02619469396e-06,23031.2304604,7.60738809e-06,1.35271044437e-05,17740.6390711,1.55057428408e-05,4.34915015825e-06,9.03440115006e-06,23323.4349,2.54576414634e-05,6.20952078783e-06,1.01421741428e-05,17849.3786164,4.28707599291e-06,5.83877041122e-06,1.20100144967e-05,4.26066411322e-06,8.42344305086e-06,30768.404572,5.3914685535e-06,5.71686694228e-06,7.11959593951e-06,4.73340205084e-06,1.13637578533e-05,20085.200088,4.26475148617e-06,2.20198313458e-06,38532.0551048,20255.4442802,3.40274393118e-06,3.86402254929e-06,2.63248985905e-06,4.35429897495e-05,12407.4633279,3.52227309099e-06,5.70249810233e-05,12587.5567859,5.17357757615e-06,5.44124738783e-06,6.35985113505e-06,5.11926305241e-05,3.82576756249e-06,1.00553823694e-05,20271.9884,3.36515568684e-06,3.57453337022e-05,12333.2378608,3.95067944066e-06,2.33075259638e-05,13121.9796
2.99524476543e-07,7.40268566259e-08,13161.0080885,2.07236596805e-07,7.17576698513e-08,13799.7414283,1.35922122691e-06,7.87608984494e-08,6.39106698293e-08,12066.4835218,2.39523052856e-07,3.74498539723e-08,7.10924382232e-08,14453.8917829,2.28399081677e-07,7.41106958449e-08,13082.0932085,3.70430636642e-07,7.04964915129e-08,13164.6760703,2.60205217206e-07,3.70964831296e-07,102391.237219,6.97806273476e-08,6.9706364392e-08,11548.1651182,40474.0201607,6.69424186669e-08,6.28086939669e-08,11590.8764697,36332.6363412,5.61008285517e-08,6.19575928279e-08,11440.1708894,1.87510139653e-07,2.09331454184e-07,3.19493805337e-07,37462.3799958,4.59739170867e-08,7.32973304846e-08,12595.5916818,10755.6381502,9.97593063962e-07,105217.778265,5.22978831584e-08,6.41290635447e-08,10205.8836053,2.90515486388e-07,6.04845162344e-07,2908.28311493,120019.509498,6.45318349712e-08,6.9277490296e-08,11946.9971586,72616.0284063,126070.735743,6.2418018517e-08,6.10830077883e-08,9707.69520913,3.89272817664e-07,6.41864633492e-08,7.24117944721e-08,14515.0388632,3.9806560267e-07,4.78096414676e-08,7.23576166718e-08,13771.2063172,3.6336578528e-07,7.14464107377e-08,13249.9938825,56771.7314682,5.3736256731e-08,5.79825764427e-08,9735.19252434,1.81452993107e-07,2.21653191735e-07,7.12037653727e-07,4.3831776907e-08,7.21078327794e-08,13371.2544622,9344.43717583,4.87326384088e-08,6.20584455794e-08,11330.9944084,6.3258645245e-07,6.71466965675e-08,11603.197767,57263.7166119,5.33134144288e-08,6.29250269304e-08,11415.3982806,27852.9534683,6.70688373419e-08,6.38581744228e-08,11517.1099506,2.68802680127e-07,2.07414661225e-06,85672.7039587,7.15457711756e-08,6.64955817293e-08,10423.0461711,4.36379359739e-07,5.25880979634e-07,1.20800850908e-06,5.68264498125e-08,6.63306827632e-08,13710.792367,5.1745749342e-07,4.61954363746e-08,7.09161574928e-08,12777.6618264,1.75332518095e-07,3.02932865272e-07,4.92092531361e-08,7.19006225409e-08,14268.0767534,2.06886372201e-07,7.10297504728e-08,14422.4194164,6.00826767651e-07,5.88314657893e-07,6.84226667734e-07,132522.98777,5.13881710871e-08,6.73477344049e-08,10274.6886296,1.83515331475e-07,7.16755629258e-08,13177.6432746,2.90508213811e-07,6.90231854649e-08,13181.7232304
4.17701950828e-06,3.70576313088e-05,12367.4190852,3.91338902112e-06,6.37260689508e-05,12665.9798368,1.00066605558e-05,9.76814443839e-06,1.20136345803e-05,18488.0649055,3.97387947964e-06,2.02214433959e-06,0.000147000813088,12387.6102836,4.00710270883e-06,0.000136791858281,12283.1108685,5.05551164605e-06,2.08175912162e-05,13128.5703923,5.28115324579e-06,6.91778863864e-06,1.3846629298e-05,6.3998920316e-06,1.48070280648e-05,18066.7134867,40474.0201593,5.98107293799e-06,9.86381509379e-06,18266.0124617,1.65744173206e-05,4.71773087606e-06,9.33796981502e-06,23344.0447184,3.8651819734e-06,3.98396279928e-06,4.42343233803e-06,5.54628288395e-06,2.5052988207e-06,311445.69354,19908.6689278,6.71718692857e-06,7.05538820341e-06,1.09046073876e-05,3.85187184033e-06,8.95623277244e-06,20129.7119389,4.55513927696e-06,5.37069958328e-06,6.75609249267e-06,9.32149996332e-06,5.07233773725e-06,1.91132598758e-05,18047.232201,1.99104574318e-05,69283.8586712,5.76610254118e-06,8.95774119695e-06,12238.9545671,4.37620732212e-06,3.61230718107e-06,55777.0863247,12278.1552387,4.7433105012e-06,2.75285399321e-06,5.67548565068e-05,12619.1357035,4.47478589033e-06,3.84061850706e-05,12468.5627567,56771.731468,4.2422283493e-06,7.89282020624e-06,11885.7627264,3.86183652871e-06,4.03246250663e-06,4.7219770989e-06,2.45774537889e-06,10538.7152858,11644.9582794,9.57537362562e-06,4.45448719489e-06,9.47606439871e-06,22890.1371999,8.06397351121e-06,1.40931100422e-05,17859.1585263,1.53264963403e-05,4.64374157536e-06,9.48130378466e-06,23124.9103499,2.53272777205e-05,6.53718480096e-06,1.06616504479e-05,18008.5199248,4.63435813326e-06,6.24926367809e-06,1.2030170522e-05,4.65325938126e-06,8.90380236162e-06,30690.6536351,5.75702213849e-06,6.07751127489e-06,7.45305451185e-06,4.99931549129e-06,1.19732946719e-05,20073.3632278,4.52517517279e-06,2.3695516654e-06,38532.0551017,20194.9325991,3.66302245638e-06,4.12347518623e-06,2.80062561043e-06,4.45361797585e-05,12369.0928571,3.74706303343e-06,5.86958893434e-05,12580.4805913,5.51233586852e-06,5.76304037159e-06,6.7113417718e-06,5.16466033498e-05,4.13170376498e-06,1.05597282744e-05,20719.4719445,3.5859989355e-06,3.69905732919e-05,12345.113905,4.19628766362e-06,2.4173640441e-05,13102.6273053
