AT onwind,AT solar,AT ocgt,BA onwind,BA solar,BA ocgt,BE onwind,BE offwind,BE solar,BE ocgt,BG onwind,BG offwind,BG solar,BG ocgt,CH onwind,CH solar,CH ocgt,CZ onwind,CZ solar,CZ ocgt,DE0 onwind,DE1 onwind,DE2 onwind,DE offwind,DE solar,DE ocgt,DK onwind,DK offwind,DK solar,DK ocgt,EE onwind,EE offwind,EE solar,EE ocgt,ES0 onwind,ES1 onwind,ES2 onwind,ES3 onwind,ES offwind,ES solar,ES ocgt,FI0 onwind,FI1 onwind,FI2 onwind,FI offwind,FI solar,FI ocgt,FR0 onwind,FR1 onwind,FR2 onwind,FR3 onwind,FR offwind,FR solar,FR ocgt,GB0 onwind,GB1 onwind,GB offwind,GB solar,GB ocgt,GR onwind,GR offwind,GR solar,GR ocgt,HR onwind,HR offwind,HR solar,HR ocgt,HU onwind,HU solar,HU ocgt,IE onwind,IE offwind,IE solar,IE ocgt,IT0 onwind,IT1 onwind,IT2 onwind,IT offwind,IT solar,IT ocgt,LT onwind,LT offwind,LT solar,LT ocgt,LU onwind,LU solar,LU ocgt,LV onwind,LV offwind,LV solar,LV ocgt,NL onwind,NL offwind,NL solar,NL ocgt,NO0 onwind,NO1 onwind,NO2 onwind,NO offwind,NO solar,NO ocgt,PL0 onwind,PL1 onwind,PL2 onwind,PL offwind,PL solar,PL ocgt,PT onwind,PT offwind,PT solar,PT ocgt,RO0 onwind,RO1 onwind,RO offwind,RO solar,RO ocgt,RS onwind,RS solar,RS ocgt,SE0 onwind,SE1 onwind,SE2 onwind,SE3 onwind,SE offwind,SE solar,SE ocgt,SI onwind,SI solar,SI ocgt,SK onwind,SK solar,SK ocgt,co2_emission,objective_value
1.4491018737e-05,2.73841555447e-05,20363.9668175,1.46257268379e-05,2.92282040328e-05,3891.02334225,5.09664743124e-05,2.73832333565e-05,1.73035347312e-05,13391.7355737,1.32699308224e-05,5.91715065786e-06,3.07465701514e-05,10843.0846326,1.21350064813e-05,3.33454488819e-05,13175.1500844,1.74548395774e-05,2.28972845015e-05,12319.3858664,1.86856425497e-05,2.60233651203e-05,0.000477445197321,1.48165313866e-05,1.68043702469e-05,22678.1672469,40474.0201552,1.31863762762e-05,1.51888842853e-05,20028.2311227,36332.6361998,1.11552020804e-05,1.35284988152e-05,12495.7574945,1.13075236563e-05,1.29510684585e-05,1.65615907373e-05,2.83834836386e-05,5.8140965994e-06,3.81922509172e-05,26926.3697554,3.08854191615e-05,3.15665877589e-05,0.000116049837225,8.56567755519e-06,1.36917411926e-05,12816.2620559,1.52986006523e-05,2.17483623288e-05,3.31581263071e-05,44354.7629935,1.44564396108e-05,1.91194328614e-05,19685.3227739,0.00270975902351,126070.735694,1.29875582191e-05,1.19802986141e-05,15850.0657521,1.52398602711e-05,1.03934187339e-05,3.6237867739e-05,16084.6940713,1.50365675105e-05,7.29478225924e-06,2.93008930075e-05,5613.34621096,1.65795873215e-05,2.68503113199e-05,12451.6212425,56771.7314546,9.62936194771e-06,1.26843473699e-05,14722.8233255,9.96478937091e-06,1.2826403145e-05,1.9419701953e-05,6.25181676915e-06,3.19819202948e-05,34222.5888019,6.42089385204e-05,1.02295772868e-05,1.47397485261e-05,12832.4382219,3.37870485596e-05,1.66174934637e-05,1908.65112375,57263.7164133,1.12532651002e-05,1.44319699829e-05,12500.4236336,27852.9534325,1.40652554186e-05,1.61408940223e-05,17781.6269917,1.54277897985e-05,2.68489846312e-05,85672.7038819,1.31872226719e-05,1.33763814815e-05,15310.271332,2.27812355343e-05,2.42738858137e-05,3.66574689626e-05,1.22097153283e-05,1.46606838111e-05,12222.6524424,1.76863275164e-05,7.0749039096e-06,4.24287405021e-05,15413.6661226,1.00425890282e-05,1.4082759065e-05,6.79676735447e-06,2.46314586778e-05,9762.95800002,1.18348647578e-05,2.91029373561e-05,13768.5795361,2.01363968348e-05,2.16400400699e-05,2.66845195954e-05,132522.987731,8.58228058309e-06,1.57930762274e-05,14658.5159591,9.23396811967e-06,2.50780140791e-05,4331.04936999,1.48291918658e-05,2.40518303202e-05,11302.9452766,602316030.3791357,176426237835.8114
1690.62612683,2.17752046485e-11,14097.5332077,1729.97527341,2.09253609118e-11,14205.9990183,3939.7543138,1639.79998126,2.46820491841e-11,15483.5962684,1661.78274965,774.924320039,2.03036183094e-11,14688.9571476,1627.6193016,2.05204361102e-11,13977.6019112,2121.93569181,2.26738443916e-11,14247.3539843,1783.56200045,2322.96529808,8522.52613328,1079.10558058,2.3802015684e-11,14525.3658293,39907.0047779,1043.31859625,2.56760703385e-11,14680.8042653,30502.9372263,1006.46594239,2.59876677779e-11,13012.0153882,1574.32828249,1538.23387616,1664.95496423,2307.40033301,672.875984845,2.01925038494e-11,16871.9889485,2313.64326131,2368.93394558,4669.96986334,813.541261744,2.74423500733e-11,13215.851434,1620.38924433,1909.40225529,2535.61524544,33372.421123,1084.8019913,2.32110833688e-11,15189.4848889,3537.38502283,126069.533271,907.207354363,2.72264872275e-11,11364.2935843,1559.31344294,894.711673685,1.99454221272e-11,14832.7169012,2065.26803133,979.039867697,2.08922692008e-11,14101.86645,1986.94050807,2.11024791465e-11,14223.4687701,56544.1202945,815.465876663,2.83203611934e-11,11402.9298934,1578.72871943,1518.61997511,1721.61171662,689.021356587,2.06035470562e-11,14014.8182836,3803.69311992,940.725264658,2.60523000596e-11,12972.4364268,3150.36966934,2.36933877716e-11,14590.9173651,30500.7304258,972.853987002,2.63299341586e-11,13027.5698312,26355.2181062,1142.19680186,2.53667033492e-11,14514.1781054,1528.619862,2009.33195902,47192.8133305,991.138929359,3.01258747961e-11,12576.7558286,1979.66030776,2105.9316774,2838.38706535,1200.16979471,2.4917899381e-11,15965.7460327,1916.87876592,740.724791234,1.99169432178e-11,17244.7239704,1612.80993762,1593.49179475,819.349959119,2.10351226606e-11,14388.6760768,1787.30547165,2.07293819031e-11,14863.0966721,1849.04047682,1943.05233648,2073.33217652,131192.379492,810.298475698,2.69251684138e-11,13123.1979243,1962.22399896,2.15435041214e-11,14083.5698863,1947.25163929,2.18787027022e-11,14216.3845988,616150853.0571529,185247549727.7079
3.2600022279e-06,6.53934288144e-06,20864.9879229,2.78111507783e-06,7.22407677386e-06,20820.0928361,8.72617706742e-06,3.24958474133e-06,4.13834112706e-06,24915.7773754,3.13635121126e-06,1.15480297237e-06,7.72195999968e-06,21455.7159183,2.81596760648e-06,7.94300868438e-06,20837.03548,4.30746312886e-06,5.50393208236e-06,20799.0515683,4.0828256363e-06,5.73717408561e-06,8.21607584399e-05,3.79080112137e-06,4.63616590983e-06,21087.7875609,40474.0201605,3.55537276198e-06,3.61576020026e-06,21090.3927787,36332.6363408,2.47709413969e-06,3.39959726787e-06,18279.2345558,2.77639294898e-06,2.95888841759e-06,3.45144623772e-06,4.79750372913e-06,1.42897292475e-06,1.12409808709e-05,27057.3602333,7.2646208213e-06,7.62586196339e-06,2.94392305553e-05,2.14938758841e-06,3.30265080498e-06,20316.3468015,3.20361581211e-06,3.88399592947e-06,5.13926117877e-06,1.4959449489e-05,2.33525764359e-06,5.23594475583e-06,24711.2696681,66134.1761392,126070.73574,2.85418260774e-06,3.30945845813e-06,15759.8814284,3.62988254256e-06,2.26213489226e-06,9.05194596397e-06,21579.8516168,3.37077080145e-06,1.38699128726e-06,7.14005005639e-06,20770.7394905,3.40861603175e-06,6.62475570777e-06,20899.1929963,56771.7314677,2.31884899098e-06,3.02030777287e-06,15804.4847218,2.64894653324e-06,2.88961953993e-06,3.83990647166e-06,1.34249659175e-06,8.78780143174e-06,21232.6549318,1.77146463385e-05,2.4530745296e-06,3.48677015868e-06,18312.0191897,5.20737082268e-06,4.56588137253e-06,21071.9832714,57263.7166118,2.44837364311e-06,3.44845565504e-06,18292.1720229,27852.9534676,3.43195149253e-06,3.82214280814e-06,20927.8406803,3.36077028733e-06,5.04402348678e-06,3.48692521526e-05,2.23718642019e-06,3.29217851384e-06,28871.6791442,5.14973818935e-06,5.616383541e-06,7.88915415598e-06,2.65082828105e-06,4.05383773247e-06,22430.1896611,3.79404397606e-06,1.385362114e-06,1.02630991505e-05,27301.9343691,2.67005253094e-06,3.36401130693e-06,1.66036255097e-06,6.68515416045e-06,21218.9103652,2.83260482869e-06,7.18644226406e-06,21491.1374587,4.95737477976e-06,5.39689543324e-06,6.42210578589e-06,132522.987768,2.15804947424e-06,3.73575169617e-06,20304.2138419,2.3821193892e-06,6.52976534949e-06,20847.5263206,3.16099111508e-06,5.80165971004e-06,20765.4767312,664669844.6081246,185247549728.6579
1.93675574637e-06,1.02133586456e-05,13867.466718,1.76879684805e-06,1.36992396475e-05,13928.4491097,5.44052204199e-06,5.83498593108e-06,4.50022409183e-06,16475.0220982,1.83493981837e-06,9.01365297609e-07,1.68596242513e-05,14758.0250252,1.79183132681e-06,1.80465368058e-05,13775.3627083,2.42417872035e-06,7.01344800935e-06,14041.883829,2.49769113867e-06,3.41098294154e-06,9.93764889042e-06,3.47548996394e-06,5.31009738393e-06,16488.8059835,40474.0201607,3.16658572915e-06,3.7489624345e-06,16476.4098487,1.22136933133e-05,2.32079733805e-06,3.56313992758e-06,19748.5143535,1.72262023971e-06,1.80643416735e-06,2.05209679776e-06,2.63202776601e-06,1.12788185826e-06,168639.42923,17833.8579686,3.34555926819e-06,3.55968883177e-06,6.47024077531e-06,1.81415764437e-06,3.38506278925e-06,20479.1030814,2.0758678212e-06,2.49318542803e-06,3.26274304704e-06,5.8762174012e-06,2.4732048737e-06,6.61579037704e-06,16362.0957257,1.67714921568e-05,126070.735743,2.8598311761e-06,3.39868622448e-06,10611.8491945,2.01854695507e-06,1.72174445752e-06,3.19200547632e-05,14876.6184212,2.22471203115e-06,1.26468446344e-06,1.31175817137e-05,13903.5111451,2.09754459243e-06,1.03948458895e-05,13904.0644376,56771.7314681,2.01622960995e-06,3.0435448491e-06,10562.8467677,1.6666590042e-06,1.80520519778e-06,2.24737310371e-06,1.08711132553e-06,2.47277668506e-05,14238.3579436,5.27163335137e-06,2.19355509719e-06,3.63179232489e-06,19705.4269391,3.94882776056e-06,5.09375554078e-06,16435.1342405,1.08283691403e-05,2.26104503609e-06,3.61357107151e-06,19745.6462356,2.80853430602e-05,3.52211132245e-06,4.0723756447e-06,16405.0096034,2.11511506909e-06,2.97151477746e-06,7.49027249915e-06,2.20046281115e-06,3.37423043117e-06,23789.5106874,2.75090718504e-06,2.93040732427e-06,3.76376966216e-06,2.49226044832e-06,4.46514795576e-06,17429.0962499,2.12788429035e-06,1.06803382665e-06,0.000209178614439,18015.6492964,1.65107346356e-06,1.91596405294e-06,1.30545042927e-06,1.1296105517e-05,14522.8452415,1.7141201708e-06,1.31286661825e-05,14679.1954638,2.62158307287e-06,2.78340151725e-06,3.32327507461e-06,76707.2498399,1.93538679096e-06,3.93186006536e-06,21138.0047978,1.60036498836e-06,1.05817131884e-05,13855.5538183,1.94376744629e-06,7.77846661894e-06,14002.8901548,893075327.431639,185247549727.81287
1.25420779575e-05,0.000226844886238,14798.3554627,1.10788688786e-05,0.00028746402683,14728.2047519,3.90170001938e-05,2.80255727203e-05,4.49866813258e-05,17209.0561976,1.14023369128e-05,4.35388999098e-06,61906.8009991,14303.1544453,1.17692156573e-05,0.000591928769481,14759.3256531,1.60891675817e-05,9.59287862565e-05,15448.1995697,1.60140571078e-05,2.24127664374e-05,8.84576476839e-05,1.47540163577e-05,5.76476123584e-05,16495.9020387,40474.020159,1.37081004049e-05,3.53327785447e-05,16545.1079215,10463.6781697,1.06849241171e-05,3.7235936423e-05,15566.7131634,1.09102363974e-05,1.16334331613e-05,1.43047028951e-05,2.26199276106e-05,5.83350489411e-06,269652.545954,18860.8023202,2.73804653379e-05,2.78334329269e-05,8.21914679685e-05,8.55706302978e-06,3.30579835849e-05,15424.668368,1.42566002142e-05,1.8548625011e-05,2.74537880752e-05,0.000159776101735,1.34167846537e-05,6.16793087963e-05,17193.4517669,0.000197506754269,126070.735742,1.31527619051e-05,2.95756929279e-05,11742.185813,1.35300335073e-05,9.64434725214e-06,55777.0863213,14327.9320109,1.63182892532e-05,6.80016509602e-06,0.000250263558987,14668.753942,1.3593386257e-05,0.000210364634716,14840.6417469,56771.7314673,9.22746622619e-06,2.69068788586e-05,11689.4101335,1.11687133297e-05,1.13806210098e-05,1.51315339999e-05,5.63775889588e-06,0.000958955309238,15031.4310524,4.81931614171e-05,9.83618232911e-06,3.6619089423e-05,15479.2331549,2.46337484612e-05,5.28027938467e-05,16498.9729523,27707.359336,1.06440458943e-05,3.72594742907e-05,15611.1711988,27852.9534678,1.45800734589e-05,4.10675652818e-05,16313.5589088,1.37767784184e-05,2.32764524825e-05,4616.8435006,1.21808698816e-05,2.92036647847e-05,18531.1902628,1.9380903509e-05,2.11895363551e-05,3.10408841865e-05,1.54217609184e-05,4.68326627165e-05,18490.967089,1.47071883674e-05,5.53196321937e-06,38532.0548142,18911.592144,1.00259351214e-05,1.24062672025e-05,6.71646418837e-06,0.000355287834302,14251.9732376,1.05419172509e-05,0.000349396343785,14458.2703375,1.8623655177e-05,1.94756012218e-05,2.27857950446e-05,132522.98777,9.31526740322e-06,3.75144473526e-05,15334.0938157,1.01964287432e-05,0.000140732746594,14830.7368101,1.22604342262e-05,0.000126638197726,15422.4099547,594974304.3856114,185247549728.28613
6.90654878996e-05,6.54970422657e-05,12953.9286698,6.01472548524e-05,6.43048555414e-05,13430.0955507,0.000103004015705,0.000205400718779,5.56458206557e-05,12179.3047271,8.45777506538e-05,6.2396377468e-05,6.47866734279e-05,14094.7278706,5.94723291542e-05,6.71631169445e-05,12885.1748651,9.3323152058e-05,6.28086776441e-05,12961.3334794,6.54568492483e-05,8.60700409522e-05,0.000443887957077,29457.6682548,6.00744756585e-05,11309.0436159,40474.0201512,3717.29505147,5.26156346831e-05,11159.0923649,0.00249065544692,7.70444341464e-05,5.10480282845e-05,11789.9973267,4.93324094759e-05,5.23684774187e-05,6.47783152541e-05,0.000107712301963,3.51437671858e-05,9.38002549454e-05,13192.0458689,9.48651728454e-05,8.49938692995e-05,0.00014688847239,4.28464237102e-05,5.2211549308e-05,10106.4400487,7.2409312839e-05,0.000103319246673,0.000140473727639,120019.509494,0.000140381628736,6.24142632716e-05,12091.6363718,72616.0283967,126070.735743,0.000254703944011,5.01403149013e-05,9038.28612142,0.000117960851084,0.000108194425897,6.77630848799e-05,14175.7702127,9.27634792838e-05,6.10547373987e-05,6.48662007525e-05,13422.2327593,6.27998300728e-05,6.38931132446e-05,13064.0828433,56771.7314492,7.65878801302e-05,4.71977095032e-05,9073.9863734,5.68375538418e-05,6.69203246382e-05,9745.4362061,5.31352258698e-05,6.74854952756e-05,12541.4194004,0.000118070895155,7.30896598738e-05,5.1470870428e-05,11491.1405082,9.04281519926e-05,5.91740757764e-05,11382.2005011,57263.7166117,7.78599242456e-05,5.16748339031e-05,11460.9575666,0.00035290832233,0.0002129455414,5.43372405883e-05,11335.0838358,6.88826036206e-05,0.000146703730501,85672.7039377,42695.0916477,5.29209909133e-05,7896.13051592,9.86242104126e-05,0.000112358626517,0.00020058107879,8.53691922643e-05,5.59512173368e-05,14015.3906637,9.34181493731e-05,4.02859507838e-05,9.77638782883e-05,13289.8868032,4.81664797876e-05,7.22508091515e-05,0.000616344812624,6.39001572778e-05,13901.6245696,5.19193611066e-05,6.43236850732e-05,14068.0782068,7.53398848729e-05,7.44608006549e-05,7.8741992681e-05,131597.674305,5.06047248873e-05,5.60703775173e-05,9942.01266708,4.81039230629e-05,6.36033871744e-05,12980.8407506,5.96757988586e-05,6.26247158709e-05,13038.8751019,411801465.3755807,185247549728.15085
2.70343403913e-05,1.09176144518e-05,13779.6797983,2.25301252902e-05,1.07532872442e-05,14419.835702,8.19818085434e-05,1.31284642502e-05,9.87800691071e-06,12888.0585792,2.3049339457e-05,4.68907965686e-06,1.04216741603e-05,14823.9516453,2.3483980611e-05,1.09380569551e-05,13651.7568294,3.54058277576e-05,1.06611110756e-05,13949.5587694,3.15173359902e-05,4.71583156709e-05,55867.8763618,9.68188724775e-06,1.04592654324e-05,12454.9560577,40474.0201604,9.33948028179e-06,9.51587954858e-06,12521.6174373,36332.6363412,8.43889377448e-06,9.27384919442e-06,12043.3125178,2.07331360268e-05,2.33019911986e-05,3.68555594126e-05,0.0020540683025,6.75561611593e-06,1.07803080585e-05,13723.3073984,0.000120861527487,6.87302840793e-05,90553.9102453,7.68624008137e-06,9.24220856801e-06,10528.6439667,3.30228377535e-05,5.88454164205e-05,0.000205104860298,120019.509493,1.12957649499e-05,1.04337169713e-05,12740.8726394,66377.1778619,126070.735742,9.87622965313e-06,9.16353031303e-06,9704.99479294,3.34515735161e-05,1.07247188604e-05,1.07785483529e-05,14951.0074651,6.3112278541e-05,8.01188739632e-06,1.07531155475e-05,14315.4849067,3.52180511955e-05,1.06337444521e-05,13922.3020442,56771.7314668,8.06754400066e-06,8.6444742599e-06,9740.41726425,2.02323518154e-05,2.29330385788e-05,4.65939877883e-05,6.63666030853e-06,1.06092961118e-05,13735.3954195,0.000175778529972,7.77723853065e-06,9.41893405924e-06,12069.0638817,6.19574272609e-05,1.0591165066e-05,12516.2237737,57263.7166117,8.5085466496e-06,9.43229559621e-06,12064.3942184,27852.9534668,9.67154800236e-06,9.75429176863e-06,12407.6979704,2.81948858999e-05,0.00010138017058,85672.7039585,1.22199319643e-05,9.43355725772e-06,10193.800011,4.79017500111e-05,5.66577039164e-05,0.000142126656469,1.10860271747e-05,1.00054223755e-05,14426.0704588,4.20077558456e-05,6.36125680942e-06,1.07456435909e-05,13909.2724662,1.84098752178e-05,2.83694818153e-05,7.16335400966e-06,1.04021436503e-05,14545.4839422,2.08061104797e-05,1.063821328e-05,15045.6441473,4.95476829724e-05,4.76909493615e-05,5.01949874111e-05,132522.987763,8.18432148523e-06,9.89048531959e-06,10541.6623067,2.07998924364e-05,1.06288184201e-05,13780.2450254,2.87646874288e-05,1.05835909708e-05,13940.4073413,366763982.1630603,185247549728.8854
4.87932355615e-06,6.43785539805e-06,21068.9596809,4.23368686733e-06,6.86208214419e-06,21276.5971991,1.26349968656e-05,4.20644975673e-06,4.63483206681e-06,24200.7575798,4.62413149865e-06,1.67891199953e-06,7.07785319509e-06,21665.4582835,4.39672033957e-06,7.31880915683e-06,20965.9210823,6.20414693785e-06,5.78005213464e-06,21090.8151396,5.96632794899e-06,8.37889992379e-06,23401.5758663,4.56106489222e-06,5.13710441845e-06,20389.0790395,40474.02016,4.29975764771e-06,4.29323992192e-06,20515.0554217,36332.6363412,3.16649476274e-06,4.03958076141e-06,19230.5806323,4.33577151177e-06,4.51722160411e-06,5.12318441511e-06,7.38632621818e-06,2.08108315944e-06,8.23056428932e-06,25738.2527417,1.05196010078e-05,1.0818170978e-05,9.56121971288e-05,2.70777708526e-06,3.98008871817e-06,20504.2246451,5.02166143701e-06,6.00119894661e-06,7.99959106763e-06,2.90164776171e-05,3.15260283524e-06,5.39977189784e-06,23888.6806164,72616.0283883,126070.735738,3.48454352072e-06,4.04514991494e-06,16426.5991654,5.336732519e-06,2.97297458708e-06,8.04185827918e-06,21759.8409458,5.2371228618e-06,2.06275765344e-06,6.79346955191e-06,21213.3593025,5.12277256597e-06,6.45819571892e-06,21162.1143519,56771.7314681,2.88515696999e-06,3.74930677416e-06,16463.5879624,4.64520612382e-06,4.5113463303e-06,5.54158282665e-06,2.02604437578e-06,7.41357024439e-06,21228.9094227,3.02881850119e-05,3.0701042137e-06,4.14260161994e-06,19229.1709296,8.12750299035e-06,4.5265883231e-06,20417.3984161,57263.7166118,3.13050791381e-06,4.12139964533e-06,19240.6167658,27852.9534682,4.25251037146e-06,4.43539869572e-06,20361.9985448,5.05095951883e-06,7.46347902224e-06,7622.54641925,3.0817828407e-06,4.09847279833e-06,22702.3895104,7.51728318123e-06,8.25682033042e-06,1.21659732686e-05,3.47045987075e-06,4.63986495572e-06,22287.7778642,5.5944099055e-06,1.99919185778e-06,8.00383265581e-06,26243.7294148,4.09583099818e-06,4.91943373075e-06,2.20521955882e-06,6.31981185515e-06,21373.1556528,4.2788273797e-06,6.87043443429e-06,21890.832966,7.0323843952e-06,7.54207906999e-06,8.64303886453e-06,132522.987756,2.71959978051e-06,4.33710466833e-06,20432.4568941,3.74524346199e-06,6.36136536648e-06,21037.9730336,4.78803820441e-06,5.94191069455e-06,21049.3154356,624557188.1396238,185247549728.63828
3.40479773603e-08,3.44217814198e-08,20713.0515244,2.99381537183e-08,3.546277455e-08,20589.1258868,8.25624516445e-08,3.54002365454e-08,2.84439524968e-08,24652.8952439,3.27088438529e-08,1.31862340217e-08,3.54446258776e-08,21247.1028936,3.0533841094e-08,3.60912117247e-08,20683.1378027,4.33482426276e-08,3.22316988248e-08,20677.5905173,4.18787879814e-08,5.7056637913e-08,3.34426834879e-07,3.83470122126e-08,3.04448670752e-08,21366.7306686,40474.0201607,3.59931910216e-08,2.66186230098e-08,21384.2151509,36332.6363412,2.64998446238e-08,2.53804447507e-08,18227.3087082,2.99428213692e-08,3.14084924401e-08,3.50267010675e-08,4.58585193101e-08,1.5725763985e-08,4.0111359583e-08,26861.7471073,6.52886779636e-08,6.85464533695e-08,1.74014487257e-07,2.29805317203e-08,2.55472423373e-08,20263.3240688,3.38042305648e-08,3.95257601814e-08,5.03420927068e-08,9.72284456374e-08,2.47142770185e-08,3.21407927277e-08,24435.0338703,38775.827716,126070.735743,3.04509721949e-08,2.58085299808e-08,16023.1302869,3.66759827978e-08,2.31812289256e-08,3.71763673692e-08,21374.3525592,3.4982649353e-08,1.55024980177e-08,3.5258243425e-08,20537.7840122,3.5218112257e-08,3.42417428331e-08,20749.0344272,56771.7314681,2.52150188267e-08,2.420000418e-08,16057.8065582,3.02087349133e-08,3.12219928153e-08,3.79933011436e-08,1.5186459513e-08,3.7579390939e-08,21089.2295219,1.39070328792e-07,2.6100105982e-08,2.59639492386e-08,18258.9708053,5.35082284495e-08,3.03957656855e-08,21355.2059606,57263.7166117,2.61788747405e-08,2.59097320736e-08,18239.0346771,27852.9534683,3.57784713233e-08,2.74141803472e-08,21227.0520203,3.51809418629e-08,4.90691835151e-08,1.70503744895e-07,2.36740287274e-08,2.66051736507e-08,27959.8365631,5.03282764619e-08,5.41112172747e-08,7.19612454829e-08,2.81038684579e-08,2.85161544632e-08,22336.7006266,3.79292718111e-08,1.53697537703e-08,3.86782527838e-08,27120.7820845,2.86895729855e-08,3.43640355614e-08,1.77415418822e-08,3.42200904722e-08,20988.0028723,3.01215932489e-08,3.52355856233e-08,21270.849649,4.82348513242e-08,5.16720867785e-08,6.04316869742e-08,132522.98777,2.32517006787e-08,2.78836297544e-08,20251.4957136,2.65379816603e-08,3.42388722822e-08,20695.3656425,3.32934938696e-08,3.2635077563e-08,20643.4591548,696465679.8392432,185247549727.53146
9.74656406629e-06,7.3290735586e-06,13412.704904,9.44185357848e-06,7.21045358552e-06,13401.3564865,3.48544604221e-05,3701.1229713,6.77019317941e-06,17833.3585368,8.6399586646e-06,4.64793906435e-06,7.23717943589e-06,14154.749055,9.9435603202e-06,7.36148470954e-06,13357.8332901,1.14974784614e-05,7.07465878488e-06,13236.8438467,1.29101146455e-05,1.79825721818e-05,3.56041689409e-05,1.71856502947e-05,6.98141968872e-06,17339.0803176,40474.0201569,1.52075682283e-05,6.52190238949e-06,17261.5365231,3.04940104411e-05,1.35649458085e-05,6.23271916269e-06,20336.4669464,9.11354948211e-06,9.48339492779e-06,1.104799948e-05,1.63302298151e-05,6.57676679184e-06,7.70896629577e-06,20496.4569757,1.42375720621e-05,1.44004117379e-05,2.18943858547e-05,9.45762084322e-06,6.32879633784e-06,16286.9975844,1.30113834513e-05,1.75141408466e-05,2.85933111589e-05,9.01230630882e-05,7.26183635945e-05,7.25926384715e-06,17814.0756118,4.62127259409e-05,126070.73571,2.13848628581e-05,6.4589724288e-06,10458.1436469,9.45396322298e-06,9.33170783501e-06,7.36566082851e-06,14210.0444372,1.58034512687e-05,1.17487663036e-05,7.22527930413e-06,13372.3602284,1.20576169725e-05,7.28155074987e-06,13472.3939951,34325.8485351,1.0222903933e-05,6.17827334676e-06,10433.2166472,9.48024568555e-06,9.95291959479e-06,1.17853718589e-05,6.97294674632e-06,7.52167933827e-06,14167.0569381,1.79826740512e-05,1.17718447352e-05,6.38118197358e-06,20137.9857226,5.18810925021e-05,6.91986106013e-06,17175.6247313,2.75215979174e-05,1.31686332852e-05,6.4119302061e-06,20307.2422083,0.000122753531706,2.34030058017e-05,6.67147140706e-06,17441.8014414,1.14357891808e-05,1.72565560976e-05,7.54131941159e-05,3.95461604817e-05,6.59865589381e-06,21041.2355945,1.28756801486e-05,1.37189959962e-05,1.77641794269e-05,1.59086807367e-05,6.76936684392e-06,16080.5127577,1.09152042783e-05,5.90762960351e-06,7.53633170057e-06,20602.2170651,8.31115610524e-06,9.10362554447e-06,6.78210880542e-06,7.15919236286e-06,13942.0736683,8.44460189397e-06,7.17599479326e-06,14140.977787,1.21165553936e-05,1.22621900318e-05,1.41861056265e-05,106033.199706,1.14600245321e-05,6.66363677221e-06,17073.3924411,9.35695229591e-06,7.16230032115e-06,13396.3568115,1.05217612296e-05,7.24508575841e-06,13217.538144,984945626.9013118,185247549728.10425
