type,feasable,ocgt,wind,solar
original,True,32541.535982814177,4.718743170026318e-16,415.682062298604
maxmin,True,29709.73206846355,6599.616854640879,2474.4651901705315
maxmin,True,35267.05321975557,5.4127866607216066e-11,2601.4773226542147
maxmin,True,35132.57991519102,1988.7687946575293,1.6624942041197174e-13
maxmin,True,39667.041237029305,5.636232497700181e-10,7.498176891396809e-10
maxmin,True,30714.75392924744,7330.981402630561,1.8487883125544364e-06
maxmin,True,30734.258077587827,1.1578378681905933e-09,15302.067050023987
maxmin,True,39667.041237029676,5.334919669116971e-10,6.673120711607819e-10
maxmin,True,30734.258077581304,8.684705982876635e-08,15302.067049540125
maxmin,True,32802.99999875455,1.1684402668201387e-06,2.2039731854425976e-06
maxmin,True,31223.08754326605,3.4190313103347797e-06,2511.784510497151
maxmin,True,39667.04123702582,4.516298993855264e-10,7.480910622307407e-09
maxmin,True,30734.25807758567,2.164451729630986e-08,15302.067049882497
maxmin,True,39667.041237022015,1.2379826884760178e-09,1.0398735237043127e-08
maxmin,True,31724.99840273975,7.762475185410576e-07,14053.335519930057
maxmin,True,39667.04123703027,3.124633915458719e-10,4.3192844044253817e-10
maxmin,True,39667.041237027035,1.4764131495603912e-09,1.6154813184876202e-09
maxmin,True,39667.04123703006,3.8319137858448815e-10,5.074571581627392e-10
maxmin,True,39667.041237026584,1.5579634273215487e-09,1.7289484245328057e-09
maxmin,True,39667.041237030346,2.923048406376942e-10,4.0959282900055946e-10
maxmin,True,31223.087542113673,1.5826124948500955e-08,2511.7845117449438
maxmin,True,32802.59227130615,0.22708333539952363,0.6604226167999325
