AT onwind,AT solar,AT ocgt,BA onwind,BA solar,BA ocgt,BE onwind,BE offwind,BE solar,BE ocgt,BG onwind,BG offwind,BG solar,BG ocgt,CH onwind,CH solar,CH ocgt,CZ onwind,CZ solar,CZ ocgt,DE onwind,DE offwind,DE solar,DE ocgt,DK onwind,DK offwind,DK solar,DK ocgt,EE onwind,EE offwind,EE solar,EE ocgt,ES onwind,ES offwind,ES solar,ES ocgt,FI onwind,FI offwind,FI solar,FI ocgt,FR onwind,FR offwind,FR solar,FR ocgt,GB onwind,GB offwind,GB solar,GB ocgt,GR onwind,GR offwind,GR solar,GR ocgt,HR onwind,HR offwind,HR solar,HR ocgt,HU onwind,HU solar,HU ocgt,IE onwind,IE offwind,IE solar,IE ocgt,IT onwind,IT offwind,IT solar,IT ocgt,LT onwind,LT offwind,LT solar,LT ocgt,LU onwind,LU solar,LU ocgt,LV onwind,LV offwind,LV solar,LV ocgt,NL onwind,NL offwind,NL solar,NL ocgt,NO onwind,NO offwind,NO solar,NO ocgt,PL onwind,PL offwind,PL solar,PL ocgt,PT onwind,PT offwind,PT solar,PT ocgt,RO onwind,RO offwind,RO solar,RO ocgt,RS onwind,RS solar,RS ocgt,SE onwind,SE offwind,SE solar,SE ocgt,SI onwind,SI solar,SI ocgt,SK onwind,SK solar,SK ocgt,co2_emission,objective_value,transmission
0.00712087375929,0.0234146633259,10477.0080667,0.00568531701752,0.0317743281344,2001.99720854,5420.21532787,2471.80784074,0.00873427508334,13253.2488838,0.00650930469581,0.00158150515566,0.0420257158783,6399.9852154,0.00608419605471,0.513985096929,7644.99586151,0.0120540349794,0.0269932216618,9726.38350605,46653.437952,0.0804452209424,0.00996343953602,55533.136069,40474.017941,0.00652198191694,0.00660693079983,12749.8520559,1378.29886854,0.00571091298229,0.00773146627536,1448.55544806,0.00823628706143,0.00318751881574,45671.8051084,41527.7870985,12152.8077313,0.00570224726749,0.00770241073681,13150.9741333,0.0776239507307,0.0204824545274,0.0132555014213,86264.8402359,52996.4332091,0.00549522643692,0.00556324660671,44492.146462,0.00885576031938,0.00887589430215,1632.022384,8155.99485032,0.00748024469326,0.0028800694152,0.0308315699904,2823.99373808,0.00756220709177,0.0229781823638,5633.50166529,3834.62489652,0.00402475940207,0.00560160308872,4659.46795881,0.00749969443488,0.00289182954768,3538.92379715,51114.4982252,1464.71194549,0.00575167803102,0.0079180584082,1564.92634877,443.354127591,0.00826588601345,939.856602671,1078.83054263,0.00541325134777,0.00734247060434,964.357345334,27852.9502118,0.00848264230129,0.00741427473492,14407.6719218,0.268053211806,0.0096842724157,0.00607792932514,15924.2797477,0.0466348727249,0.018037729866,0.00857955764359,22119.4924781,0.011255392657,0.00280838855437,7806.29280709,9064.48396338,0.00650869984371,0.00404010765181,0.0241750184965,8547.49623612,0.0054264439486,0.0299683715888,7052.98908971,22884.3621413,0.00569795058304,0.00762526201775,21969.3554949,0.00381067201663,0.0207960742858,1840.47878695,0.00650120212216,0.0216399251668,4135.01796408,1151990765.731964,200760278637.36557,61428.220495805916
4740.5170241,5.27002441208e-13,12130.8125483,4352.75972682,5.22868656363e-13,5390.060263,14291.0100337,3678.72716575,5.4208961694e-13,14093.608308,4551.83060737,1817.22550963,5.12520747205e-13,6937.97859367,4454.33037245,5.03864279966e-13,12369.8675942,6433.97633328,5.32104570953e-13,12286.1916803,35268.1837414,11023.8038051,5.44183304721e-13,32398.6318793,40472.3697714,2752.76508173,5.45877466806e-13,14631.0971117,8663.31580598,2157.18569776,5.41267870573e-13,7035.95475059,5108.81681985,2074.64805321,5.22762955915e-13,37404.4952307,8112.1433591,2189.16534262,5.61572086235e-13,8785.4303709,15291.9168664,5277.0345461,5.44164463055e-13,58143.2029717,66728.7481574,2287.64891104,5.65358627753e-13,32627.391029,4767.43659609,2811.86529413,5.04417795271e-13,8554.8760545,5214.89064788,2240.82910746,5.19067044911e-13,6761.69673353,5115.61112108,5.20450800603e-13,6604.87495745,10006.0601026,1862.16047365,5.66101841671e-13,9858.09390065,4754.45016166,2135.09705286,5.17266303767e-13,38725.5797465,9070.25527774,2400.52177752,5.48059431884e-13,8468.6433861,3772.13661612,5.3473442286e-13,4746.71107626,8767.33843556,2157.49341269,5.53458203579e-13,6953.74198756,27848.707233,3864.63336008,5.46256484563e-13,16598.9387338,10757.7711759,3036.45855757,6.13540079431e-13,16380.6049063,8358.58285464,3971.38800895,5.53576207868e-13,10109.9252229,5242.88944226,2024.57299417,4.99408067026e-13,9544.31423536,4507.18048225,2288.52994474,5.2433080543e-13,7805.43352092,4333.13844319,5.1701652815e-13,6801.88534649,19253.6161552,2411.61315425,5.74601344653e-13,15671.3590987,3983.27038133,5.21464300512e-13,6410.75149468,4718.5431506,5.25915553094e-13,6588.89978493,980099535.5094749,220836306501.08417,280433.93845749006
9.27234135827e-12,8625.94220916,9470.02857494,9.31919565659e-12,6304.1194807,5938.66191432,7.91280571204e-12,8.3259428828e-12,5021.41752104,12500.031047,9.31922595835e-12,8.4529626781e-12,8098.98817283,7659.72925532,9.39247602593e-12,12777.6108351,10176.7275135,8.81837921963e-12,7202.38327718,11267.4189123,7.28066363014e-12,6.64630957166e-12,6444.24296762,58788.9698839,1.44608246462e-11,7.10122213548e-12,4415.30082423,11373.9779291,8.47186227099e-12,8.11546414092e-12,4223.91675894,6412.44031616,9.06207527163e-12,8.80937610474e-12,43999.3223943,38428.8846039,8.14664496615e-12,8.18842664843e-12,5172.63012973,10782.6346768,7.46909905615e-12,7.27861719091e-12,7521.02941226,76826.8348363,1.1401721906e-11,7.86170821148e-12,4705.31536653,49045.301682,9.03636634785e-12,7.49913652328e-12,11136.1229939,9279.33651032,9.31202767246e-12,8.77903185752e-12,7080.9364343,6707.19263202,9.21708142684e-12,7314.27950392,7364.79357529,9.61705700664e-12,8.41163893825e-12,3760.47043076,9090.28892172,9.29698171272e-12,9.05783939031e-12,29609.4388177,38573.8778296,8.35755402787e-12,7.72756331648e-12,4359.16313328,9317.27172593,6.33008210278e-12,2449.38022661,6367.65604858,8.22869072465e-12,8.11905759265e-12,4208.95030384,6259.16592904,9.32724983708e-12,7.75897608644e-12,4822.82702172,21045.3625329,7.75255568258e-12,7.91272572926e-12,4619.82080717,18416.7638485,8.16286823901e-12,7.60186737862e-12,5417.21892306,14315.2025129,9.09044674354e-12,8.69278131227e-12,11759.7759878,11427.3515924,9.40155824353e-12,8.2586811391e-12,7615.40213402,8396.48668519,9.3279501148e-12,7209.42536214,7311.94110456,7.6133775069e-12,8.02603761853e-12,5576.10081352,19690.1336789,9.31827234155e-12,7274.21385002,6986.92572121,9.17677438488e-12,6538.70107847,7786.40245359,1383888318.799465,220836306501.11542,200531.05834718002
3921.63520983,9847.63129023,11110.0033108,3493.25935449,2970.50811825,2873.65233338,8160.52545379,3093.14927522,4631.25139424,14039.1436778,3591.80762172,1573.51011212,5988.85628114,6767.86990355,3835.74001025,7928.09769796,7817.04677406,5743.3958613,7446.99931797,9867.41371296,33185.5638865,25498.2961874,7081.55938673,66004.7747118,5026.58423106,1314.30859988,3564.57516222,5845.65273867,2006.82707431,993.514376775,2890.38130187,2213.0796489,3836.96120226,1727.19626082,43372.1648282,42184.6016558,9979.43152436,2092.46508046,8305.90309782,14125.7572696,7459.23100207,2990.25032515,10018.3210322,91070.2765616,44884.8717568,2089.36951341,5470.61221749,50556.5264314,3714.63173719,2158.52138813,7653.42010373,8149.54647804,3137.97327386,1513.68966791,3559.62918571,3270.20664307,4012.28408431,6439.03945694,5986.81419016,3456.94600673,1324.42127552,3597.39432406,4444.65688844,3653.0533413,1593.49681578,37738.7152527,51855.8591579,2296.77224248,1004.80786861,2850.82126983,2536.75842082,2979.62968813,2094.75454828,2145.51569671,1937.16900606,941.397292571,2803.27156556,2108.53375389,13164.7843627,2426.18961941,4386.00198594,17181.8059721,15843.9022576,2537.32672732,6829.18326761,19468.7614495,10833.7880012,4334.24910285,6682.70098239,22121.3739572,3918.49610843,1690.66566083,7676.75345104,8582.02674289,3540.93405765,2005.52610756,8325.73489042,8514.66269301,3804.31744796,6306.15011337,7325.40530767,19356.5729701,2126.87567988,7560.13465219,23583.7282268,3883.63594275,2943.7637313,2938.19106863,3921.35768359,4568.94618467,4646.37758212,1036557097.9018844,220836306501.07123,1.6446556098611002e-08
2.74791107825e-05,8.50499434013e-05,26725.7780187,2.21038820703e-05,0.000116759026735,21258.5880662,1044.85283926,5.29868089777e-05,3.54376434124e-05,25752.4434645,2.57736836329e-05,8.68994447233e-06,0.00014410057484,24216.0941533,2.28457142806e-05,0.000187951759564,25029.438877,4.46969786515e-05,5.75352406657e-05,26649.8546707,36271.6838928,0.000205427125492,4.23134781444e-05,57710.5839652,40474.0201608,2.58056730178e-05,2.71889548642e-05,25516.2038321,1284.45066118,1.96400431963e-05,2.62105293946e-05,20006.3976812,3.09979360384e-05,1.22624288067e-05,42311.8685366,46639.5484868,11459.4377663,2.15695746268e-05,2.56040918615e-05,26279.2550408,6.58213834026e-05,2.74378851318e-05,5.26352293777e-05,92053.8748559,46426.8601622,2.01075866135e-05,2.51249312133e-05,50851.8435415,3.21174368487e-05,2.22033519039e-05,0.000468689796516,25774.4139652,2.83286031306e-05,1.10101612484e-05,0.00011244848193,21892.8982203,2.82679440859e-05,8.33575487692e-05,24431.9427458,3842.54268568,1.60704355182e-05,2.29146441246e-05,19174.8969416,2.82091319728e-05,1.11342478218e-05,0.000290625921779,59154.6646694,1326.5659184,2.4215448783e-05,2.88933137901e-05,20205.8325949,0.000129944619374,4.18302283586e-05,18512.4275934,974.415494137,1.96146994643e-05,2.73541085006e-05,19914.8985493,27852.9534684,3.07090704414e-05,3.02645275357e-05,28075.9403697,0.000128580285779,2.27720637484e-05,2.54716545267e-05,30472.5742069,0.00012279504898,4.3473952297e-05,3.62480021667e-05,36409.1640104,3.1604279179e-05,1.13007448941e-05,7858.30640814,24311.7510893,2.60809483896e-05,1.45631447844e-05,8.84288688448e-05,26120.109637,2.17079978128e-05,0.000106853273757,24559.1662716,21417.5349676,2.15661192581e-05,2.89738079563e-05,30364.0613003,1.70591637923e-05,9.18444639746e-05,21401.1329526,2.53763259912e-05,6.25337667615e-05,22967.978618,1193294759.0610216,220836306502.88245,46540.32712658209
3.37548300752e-06,1.12921384236e-05,15927.474933,2.84449507266e-06,1.63004723307e-05,1994.99988196,332.349484951,8.88156518392e-05,4.11898881714e-06,17371.1031191,3.09543591765e-06,1.09797008253e-06,2.14890186616e-05,6099.49999779,2.90030381368e-06,2.12441802916e-05,12384.7427376,5.36345765108e-06,7.1076135143e-06,14566.751304,0.000148229618199,1.1574461247e-05,4.96884278124e-06,50424.4441581,40474.0201608,4.14047686184e-06,3.35275642495e-06,15154.4641085,15008.0906761,2.73385996223e-06,3.20138031844e-06,7014.47530298,4.15318176834e-06,1.54339714715e-06,45782.6311001,41527.673054,3.21384465888e-05,2.47574129789e-06,3.05934846152e-06,7919.44092161,1.83030295923e-05,6.02516561063e-06,5.86945131975e-06,69059.1916241,188674.409653,2.88250873666e-06,2.93641404953e-06,23143.6598106,3.97899277062e-06,3.49702436908e-06,1632.02436769,8232.99999895,4.4969466415e-06,1.72662511676e-06,1.55207698225e-05,4192.16581647,3.93615781062e-06,1.13266773493e-05,7399.33511136,6352.81897079,1.91201638607e-06,2.6903061141e-06,7564.16691754,3.58226744242e-06,1.40845822288e-06,3538.92023064,51202.0,1.3836441419e-05,2.80060913763e-06,3.29936753429e-06,6324.91483849,865.677328817,4.9930105824e-06,842.081260174,34411.6635512,2.72821550845e-06,3.28132196128e-06,6410.46826538,27852.9534683,6.20638967704e-06,3.69017827468e-06,20097.1778527,2.26849605013e-05,4.06753770115e-06,3.03996524338e-06,21776.7026146,9.90656966714e-06,4.87454717471e-06,4.32984498228e-06,8749.99708297,4.49579734516e-06,1.49102970584e-06,7332.64497994,8377.45987785,3.04531102701e-06,1.89048723291e-06,1.23855045479e-05,8323.50000064,2.66573421358e-06,1.4997574871e-05,6825.9999428,22701.614202,2.84887977847e-06,3.53173179752e-06,21071.2569117,2.36426687191e-06,1.23273487178e-05,3092.48065849,3.37206023043e-06,8.04570649752e-06,7649.06459303,949816340.8740466,220836306501.35294,984122.251324952
1.22511120818e-06,7.51334019209e-07,15002.8410992,9.67906301903e-07,1.7973641681e-06,2037.49999997,13770.6508554,7.07016427172e-07,3.56752877742e-07,12270.2737528,1.75751622168e-06,1.63989576966e-07,2.38670983297e-06,6407.56691434,7.34475360819e-07,7.85133671271e-07,12162.1692402,1.91045702716e-05,5.0933510592e-07,15063.8825793,142607.707014,1.02220605938e-06,3.84901860382e-07,25148.6011472,40474.0201608,3.43882701088e-07,2.85028704963e-07,13099.6536492,3352.76055347,2.45212761284e-07,2.6905181977e-07,2159.89951514,1.03183426784e-05,2.47180972303e-07,1.69515243683e-05,39142.0503718,21451.8568947,2.52973918002e-07,2.68627833351e-07,12329.7226053,175741.005243,4.30373942329e-07,4.35146007e-07,39511.2113393,192720.418336,2.81399923069e-07,2.64427594743e-07,29279.0158123,13941.2011032,1.86547415422e-05,152.158907797,7314.64915184,2.88846659596e-06,2.10635061552e-07,1.67770762945e-06,4322.51988738,2.98406258343e-06,1.12094325324e-06,9224.23116672,9158.21197623,2.05366565922e-07,2.40492743985e-07,4741.37876084,9.03300692187e-06,2.12929478511e-07,2.26719437525e-06,59570.9572866,6674.65506846,2.74747840065e-07,2.9078631817e-07,4662.54682314,322.294994473,4.31095016183e-07,1546.92967489,2781.74389495,2.50355017599e-07,2.7937121816e-07,2169.472357,27852.9534683,4.34384562523e-07,3.17957291479e-07,12671.5106826,48254.6019701,3.46514059982e-07,2.68457289783e-07,12301.2432883,35878.5661218,4.90218874401e-07,3.65529983176e-07,15753.3914283,11877.3878165,2.34788173069e-07,7.52843618204e-06,6416.27458034,1.57985898416e-06,3.93075571906e-07,1.36280613508e-06,8500.49999184,9.34708684116e-07,1.65282790479e-06,6938.49999186,47070.5032245,2.46578269295e-07,2.85968674807e-07,15530.346884,5.46705963302e-07,1.02456209641e-06,3214.75028083,1.17712088635e-06,6.18993715502e-07,7896.94359852,637226347.7793397,220836306501.21744,267139.83879870677
1.84128276809e-05,23218.3010266,10598.3963386,1.52437798278e-05,3961.4643755,1931.45941053,3747.39305082,0.00326697998347,25192.5162074,14009.0334589,1.63298390537e-05,6.19599963553e-06,11513.3211846,6483.12676422,1.6439861733e-05,14522.5293211,7553.91151617,2.69179157495e-05,18975.6997225,9517.38561923,0.000110318689719,3.09740710628e-05,173870.472562,56087.4297739,40474.0201572,1.56580413399e-05,0.000196167886456,12329.3630471,1372.27450217,1.76740429641e-05,1273.68791827,1449.55359715,2.08419225293e-05,8.76396191209e-06,83077.260373,41488.305815,8773.23045606,1.75453972812e-05,16228.2043595,13065.2853106,5.09569259191e-05,2.56406556583e-05,155186.302486,86842.8757658,45243.2550524,1.78368086316e-05,48527.6300966,45336.9198878,2.02435825979e-05,1.4065950229e-05,16520.1180196,7992.76954433,2.22787996387e-05,9.20272646657e-06,5477.03466516,2834.2697689,1.97847689657e-05,12692.0099798,5629.49993047,3410.71477746,1.23516192807e-05,3865.64639,4936.17123348,1.83271976854e-05,7.97766179582e-06,105221.835355,50971.1036766,971.953555022,2.13051191653e-05,2442.56085379,1543.56849655,0.0001484892857,1892.2316923,1042.49996475,909.496633821,1.69133581546e-05,1335.05787722,1053.29096859,27852.9534543,2.23388207166e-05,2779.24225332,17641.5799356,7.64070189998e-05,2.21394656574e-05,0.00101756023235,20215.8992386,5.68075090791e-05,2.77435628229e-05,46415.2569844,21861.9999649,2.18139214773e-05,8.59966285766e-06,15507.9622585,8342.29513833,1.66258264516e-05,1.0358438979e-05,16839.2478129,8272.10371669,1.4322799958e-05,12194.0132048,6738.77082243,9911.59980446,1.8395619146e-05,30794.8891297,21724.899947,1.31923177392e-05,3627.36756683,1862.49999109,1.7337840521e-05,8783.14644279,4154.99999668,895863506.6672084,220836306502.39404,66632.10716377581
1.0648271508e-05,2.41682712465e-05,16331.4667497,8.74862134807e-06,4.05081057937e-05,1988.49999976,4.59115063425e-05,3701.12297125,9.12579668571e-06,12976.3545775,1.1542077737e-05,7.07770713031e-06,4.30567183068e-05,5128.83716745,8.42531791808e-06,2.88833187452e-05,8658.90864157,5.0811751555e-05,1.60636227744e-05,13997.4738028,7450.2484103,52231.9331001,1.09899121646e-05,25181.3695093,40474.0201607,2472.01591761,7.48834090918e-06,14014.9011489,17269.2055792,1.58447374785e-05,7.68004949453e-06,5863.19485258,1.36088340272e-05,8.15159714076e-06,19623.0082022,38513.1439533,0.000168772778449,9.77906032924e-06,8.82723643429e-06,6770.71118366,42359.7230141,42198.9627758,1.19143615941e-05,39521.4176552,192720.418336,2.22348051249e-05,6.62374648816e-06,31826.8013019,1.41014610666e-05,22301.2230277,2.72571987528e-05,4440.07451568,1.88491179232e-05,1.2685873594e-05,3.91068221701e-05,2794.00003229,1.13210478377e-05,3.06055820613e-05,5572.88641333,9779.69728588,6.69082172929e-06,5.78615012323e-06,4899.00531382,68200.4458744,1.40082264775e-05,5.27504787239e-05,42585.5571986,0.000147736475408,604.236456307,8.58980480047e-06,1233.47645052,292.413351706,1.09622172161e-05,1358.21185141,2506.87268572,1.87498889538e-05,7.94967750235e-06,1170.24219722,17842.6474191,4755.85723909,7.89056205027e-06,11016.0698204,4088.01039235,45304.7067753,7.78206249999e-06,8539.93112586,10006.7485841,10511.1436525,1.0695718272e-05,18196.2315932,0.000263637697175,2.49810425187e-05,11580.8854096,7748.65276146,8.63524474871e-06,6160.56712882,3.20751902572e-05,5148.15220331,7.2570706841e-06,3.75006555421e-05,6811.49999894,0.00111675945499,1.14944831079e-05,9.29725374999e-06,16229.1998925,6.62083810834e-06,3.2292269799e-05,2768.76185729,1.02024918966e-05,2.10270526741e-05,5723.29518925,610504799.5278498,220836306501.53506,255641.59042677336
3.45851794211e-07,4.41059023987e-07,25970.1993036,2.94947814145e-07,4.7870341908e-07,21003.1566194,3998.33544332,8.42513806395e-07,3.19650255085e-07,24752.3707656,3.31451720965e-07,1.28394736173e-07,4.91033061055e-07,23742.2983975,2.99140541956e-07,4.96696486545e-07,23305.0154423,5.0709144806e-07,3.8940912086e-07,25079.8571652,4.11449414265e-06,2.24603184273e-06,3.43909795392e-07,63589.2902813,40474.0201608,2.98343012226e-07,2.68649377919e-07,25359.9273194,1030.05591942,2.72592853872e-07,2.70281425539e-07,18389.846527,3.73448357293e-07,1.62264516386e-07,6.07940906298e-07,48910.6222755,9599.89983234,2.91891917711e-07,2.68103233731e-07,25232.4460081,6.05601306802e-07,3.08833909051e-07,3.76028536073e-07,91993.4609945,43133.3546361,2.61241760217e-07,2.62171326806e-07,51809.240574,3.81073980813e-07,2.63538189578e-07,5.40696745983e-07,25139.9004116,3.54471800985e-07,1.54881357602e-07,4.72531119145e-07,21456.6664475,3.58094318615e-07,4.37615128076e-07,23917.7046726,3495.08347102,2.13324994474e-07,2.48636121072e-07,19791.3761052,3.45342492616e-07,1.5091085577e-07,5.00781828507e-07,57544.1893911,1140.70574727,3.45572059572e-07,2.83786141714e-07,18732.5241441,9.00842647927e-07,3.39426079081e-07,18525.0247631,886.130708115,2.70206706358e-07,2.77644820478e-07,18304.3432258,19282.6524434,3.79393904856e-07,2.9308827252e-07,27905.6877204,1.03939390271e-06,2.76745743724e-07,2.73185081782e-07,30111.7015676,9.0798559883e-07,4.6442455631e-07,3.1953598328e-07,34782.4260307,3.8904797782e-07,1.54834633081e-07,6.10756248205e-07,23113.275617,3.29802371929e-07,1.91655393446e-07,4.44708809065e-07,25563.1213015,2.94017992598e-07,4.67935433115e-07,24130.6139395,18485.0069668,2.89034555957e-07,2.92696299108e-07,30416.3227411,2.45534925598e-07,4.52376691942e-07,20767.5473505,3.30063530742e-07,3.99956425743e-07,22533.2054512,1288633553.696184,220836306501.27603,37404.91518393384
