Time (CET);Day-ahead Total Load Forecast [MW] - Denmark (DK);Actual Total Load [MW] - Denmark (DK);Day-ahead Total Load Forecast [MW] - Norway (NO);Actual Total Load [MW] - Norway (NO);Day-ahead Total Load Forecast [MW] - Sweden (SE);Actual Total Load [MW] - Sweden (SE)
2017-01-01 00:00;2942;2812;14911;14912;13433;14207
2017-01-01 01:00;2735;2743;14786;14786;13223;13942
2017-01-01 02:00;2646;2595;14639;14638;12979;13703
2017-01-01 03:00;2531;2494;14442;14442;12828;13630
2017-01-01 04:00;2446;2482;14392;14392;12808;13525
2017-01-01 05:00;2520;2484;14530;14530;13021;13584
2017-01-01 06:00;2617;2527;14826;14826;13419;13747
2017-01-01 07:00;2647;2633;14965;14964;13785;14014
2017-01-01 08:00;2733;2755;15253;15253;14064;14271
2017-01-01 09:00;2918;2923;15703;15702;14313;14647
2017-01-01 10:00;3154;3161;16202;16202;14753;15311
2017-01-01 11:00;3313;3318;16449;16449;15158;15882
2017-01-01 12:00;3374;3380;16570;16570;15402;16207
2017-01-01 13:00;3365;3361;16484;16516;15568;16455
2017-01-01 14:00;3394;3386;16687;16688;15924;16781
2017-01-01 15:00;3464;3469;17128;17128;16611;17273
2017-01-01 16:00;3769;3773;17481;17480;17183;17931
2017-01-01 17:00;4079;4104;17626;17626;17408;18027
2017-01-01 18:00;4023;4032;17643;17643;17318;17846
2017-01-01 19:00;3803;3821;17607;17606;17047;17572
2017-01-01 20:00;3558;3545;17443;17443;16675;17159
2017-01-01 21:00;3332;3317;17281;17280;16167;16645
2017-01-01 22:00;3099;3082;16883;16883;15629;16125
2017-01-01 23:00;2936;2820;16643;16534;15151;15744
2017-01-02 00:00;2744;2647;16070;16071;15031;15654
2017-01-02 01:00;2626;2538;15823;15823;14872;15615
2017-01-02 02:00;2631;2528;15939;15939;14879;15664
2017-01-02 03:00;2677;2537;15990;15991;14980;15762
2017-01-02 04:00;2759;2657;16239;16239;15831;15923
2017-01-02 05:00;3013;2928;16707;16706;16467;16691
2017-01-02 06:00;3617;3556;17865;17865;17701;18522
2017-01-02 07:00;4289;4270;19437;19437;19006;20616
2017-01-02 08:00;4626;4631;20130;20131;19708;21251
2017-01-02 09:00;4721;4694;20291;20292;19958;21503
2017-01-02 10:00;4814;4758;20570;20570;20237;21785
2017-01-02 11:00;4742;4671;20408;20408;20293;21692
2017-01-02 12:00;4630;4514;20267;20267;20210;21706
2017-01-02 13:00;4564;4524;20131;20131;20298;21656
2017-01-02 14:00;4520;4467;20288;20288;20475;21763
2017-01-02 15:00;4498;4473;20550;20550;21009;22322
2017-01-02 16:00;4782;4795;20908;20908;21446;22703
2017-01-02 17:00;5191;5234;20795;20796;21563;22621
2017-01-02 18:00;5013;5006;20439;20439;21296;22254
2017-01-02 19:00;4666;4684;20270;20270;20919;22023
2017-01-02 20:00;4279;4356;19982;19982;20385;21442
2017-01-02 21:00;3983;4077;19666;19665;19770;20784
2017-01-02 22:00;3635;3727;19073;19073;19055;19914
2017-01-02 23:00;3294;3444;18062;18237;18377;18971
2017-01-03 00:00;3178;3172;17589;17609;16977;18447
2017-01-03 01:00;3049;2998;17055;17075;16766;17968
2017-01-03 02:00;2973;2866;16871;16892;16720;17872
2017-01-03 03:00;2895;2853;16865;16884;16772;17817
2017-01-03 04:00;2944;2910;16979;17000;17280;17856
2017-01-03 05:00;3166;3108;17286;17307;17923;18545
2017-01-03 06:00;3740;3653;18655;18675;19240;20145
2017-01-03 07:00;4365;4325;20330;20350;20600;22007
2017-01-03 08:00;4716;4752;20921;20942;21368;22699
2017-01-03 09:00;4768;4844;20754;20775;21627;22556
2017-01-03 10:00;4845;4866;20622;20642;21883;22801
2017-01-03 11:00;4829;4729;20536;20556;21930;22754
2017-01-03 12:00;4696;4669;20176;20197;21799;22598
2017-01-03 13:00;4620;4626;20213;20233;21659;22377
2017-01-03 14:00;4542;4568;20247;20267;21777;22561
2017-01-03 15:00;4481;4457;20519;20539;22183;22813
2017-01-03 16:00;4701;4666;20671;20691;22418;22676
2017-01-03 17:00;5007;4948;20684;20705;22356;22651
2017-01-03 18:00;4750;4716;20317;20337;21892;21928
2017-01-03 19:00;4475;4441;19985;20006;21333;21330
2017-01-03 20:00;4152;4116;19763;19783;20583;20746
