,Actual Total Load [MW] - Sweden (SE),Actual Total Load [MW] - Denmark (DK),Actual Total Load [MW] - Norway (NO)
2017-01-01 00:00:00+00:00,14207,2812,14912
2017-01-01 01:00:00+00:00,13942,2743,14786
2017-01-01 02:00:00+00:00,13703,2595,14638
2017-01-01 03:00:00+00:00,13630,2494,14442
2017-01-01 04:00:00+00:00,13525,2482,14392
2017-01-01 05:00:00+00:00,13584,2484,14530
2017-01-01 06:00:00+00:00,13747,2527,14826
2017-01-01 07:00:00+00:00,14014,2633,14964
2017-01-01 08:00:00+00:00,14271,2755,15253
2017-01-01 09:00:00+00:00,14647,2923,15702
2017-01-01 10:00:00+00:00,15311,3161,16202
2017-01-01 11:00:00+00:00,15882,3318,16449
2017-01-01 12:00:00+00:00,16207,3380,16570
2017-01-01 13:00:00+00:00,16455,3361,16516
2017-01-01 14:00:00+00:00,16781,3386,16688
2017-01-01 15:00:00+00:00,17273,3469,17128
2017-01-01 16:00:00+00:00,17931,3773,17480
2017-01-01 17:00:00+00:00,18027,4104,17626
2017-01-01 18:00:00+00:00,17846,4032,17643
2017-01-01 19:00:00+00:00,17572,3821,17606
2017-01-01 20:00:00+00:00,17159,3545,17443
2017-01-01 21:00:00+00:00,16645,3317,17280
2017-01-01 22:00:00+00:00,16125,3082,16883
2017-01-01 23:00:00+00:00,15744,2820,16534
2017-01-02 00:00:00+00:00,15654,2647,16071
2017-01-02 01:00:00+00:00,15615,2538,15823
2017-01-02 02:00:00+00:00,15664,2528,15939
2017-01-02 03:00:00+00:00,15762,2537,15991
2017-01-02 04:00:00+00:00,15923,2657,16239
2017-01-02 05:00:00+00:00,16691,2928,16706
2017-01-02 06:00:00+00:00,18522,3556,17865
2017-01-02 07:00:00+00:00,20616,4270,19437
2017-01-02 08:00:00+00:00,21251,4631,20131
2017-01-02 09:00:00+00:00,21503,4694,20292
2017-01-02 10:00:00+00:00,21785,4758,20570
2017-01-02 11:00:00+00:00,21692,4671,20408
2017-01-02 12:00:00+00:00,21706,4514,20267
2017-01-02 13:00:00+00:00,21656,4524,20131
2017-01-02 14:00:00+00:00,21763,4467,20288
2017-01-02 15:00:00+00:00,22322,4473,20550
2017-01-02 16:00:00+00:00,22703,4795,20908
2017-01-02 17:00:00+00:00,22621,5234,20796
2017-01-02 18:00:00+00:00,22254,5006,20439
2017-01-02 19:00:00+00:00,22023,4684,20270
2017-01-02 20:00:00+00:00,21442,4356,19982
2017-01-02 21:00:00+00:00,20784,4077,19665
2017-01-02 22:00:00+00:00,19914,3727,19073
2017-01-02 23:00:00+00:00,18971,3444,18237
2017-01-03 00:00:00+00:00,18447,3172,17609
2017-01-03 01:00:00+00:00,17968,2998,17075
2017-01-03 02:00:00+00:00,17872,2866,16892
2017-01-03 03:00:00+00:00,17817,2853,16884
2017-01-03 04:00:00+00:00,17856,2910,17000
2017-01-03 05:00:00+00:00,18545,3108,17307
2017-01-03 06:00:00+00:00,20145,3653,18675
2017-01-03 07:00:00+00:00,22007,4325,20350
2017-01-03 08:00:00+00:00,22699,4752,20942
2017-01-03 09:00:00+00:00,22556,4844,20775
2017-01-03 10:00:00+00:00,22801,4866,20642
2017-01-03 11:00:00+00:00,22754,4729,20556
2017-01-03 12:00:00+00:00,22598,4669,20197
2017-01-03 13:00:00+00:00,22377,4626,20233
2017-01-03 14:00:00+00:00,22561,4568,20267
2017-01-03 15:00:00+00:00,22813,4457,20539
2017-01-03 16:00:00+00:00,22676,4666,20691
2017-01-03 17:00:00+00:00,22651,4948,20705
2017-01-03 18:00:00+00:00,21928,4716,20337
2017-01-03 19:00:00+00:00,21330,4441,20006
2017-01-03 20:00:00+00:00,20746,4116,19783
2017-01-03 21:00:00+00:00,19733,3810,19388
2017-01-03 22:00:00+00:00,18800,3438,18627
2017-01-03 23:00:00+00:00,17987,3172,17893
2017-01-04 00:00:00+00:00,17657,3058,17318
2017-01-04 01:00:00+00:00,17142,2846,16838
2017-01-04 02:00:00+00:00,16914,2878,16551
2017-01-04 03:00:00+00:00,17036,2886,16639
2017-01-04 04:00:00+00:00,17430,2858,16766
2017-01-04 05:00:00+00:00,18165,3036,17480
2017-01-04 06:00:00+00:00,19670,3658,18980
2017-01-04 07:00:00+00:00,21307,4363,20653
2017-01-04 08:00:00+00:00,21988,4639,21111
2017-01-04 09:00:00+00:00,22454,4588,20930
2017-01-04 10:00:00+00:00,22785,4648,20942
2017-01-04 11:00:00+00:00,23128,4611,21017
2017-01-04 12:00:00+00:00,23305,4490,20991
2017-01-04 13:00:00+00:00,23269,4497,21110
2017-01-04 14:00:00+00:00,23444,4485,21230
2017-01-04 15:00:00+00:00,24012,4457,21339
2017-01-04 16:00:00+00:00,24263,4687,21683
2017-01-04 17:00:00+00:00,24434,5103,21814
2017-01-04 18:00:00+00:00,23959,4914,21503
2017-01-04 19:00:00+00:00,23740,4620,21395
2017-01-04 20:00:00+00:00,23151,4340,21138
2017-01-04 21:00:00+00:00,22419,4087,20694
2017-01-04 22:00:00+00:00,21591,3732,20203
2017-01-04 23:00:00+00:00,21154,3427,19357
2017-01-05 00:00:00+00:00,20253,3315,18756
2017-01-05 01:00:00+00:00,20171,3123,18500
2017-01-05 02:00:00+00:00,20222,3057,18494
2017-01-05 03:00:00+00:00,20350,3065,18575
2017-01-05 04:00:00+00:00,20665,3174,18877
2017-01-05 05:00:00+00:00,21599,3421,19348
2017-01-05 06:00:00+00:00,23244,4064,20745
2017-01-05 07:00:00+00:00,24659,4873,22530
2017-01-05 08:00:00+00:00,25628,5143,23159
2017-01-05 09:00:00+00:00,25705,5143,23143
2017-01-05 10:00:00+00:00,26273,5186,23119
2017-01-05 11:00:00+00:00,25875,5133,22842
2017-01-05 12:00:00+00:00,25596,5015,22546
2017-01-05 13:00:00+00:00,25096,5014,22337
2017-01-05 14:00:00+00:00,25346,4977,22434
2017-01-05 15:00:00+00:00,25839,4970,22714
2017-01-05 16:00:00+00:00,26333,5259,23096
2017-01-05 17:00:00+00:00,26618,5711,23011
2017-01-05 18:00:00+00:00,26365,5507,22785
2017-01-05 19:00:00+00:00,25960,5166,22480
2017-01-05 20:00:00+00:00,25034,4842,22139
2017-01-05 21:00:00+00:00,24085,4543,21638
2017-01-05 22:00:00+00:00,23082,4212,21073
2017-01-05 23:00:00+00:00,21956,3877,20233
2017-01-06 00:00:00+00:00,21784,3645,19734
2017-01-06 01:00:00+00:00,21433,3535,19395
2017-01-06 02:00:00+00:00,21092,3479,19001
2017-01-06 03:00:00+00:00,21025,3482,18915
2017-01-06 04:00:00+00:00,21120,3548,18999
2017-01-06 05:00:00+00:00,21565,3777,19263
2017-01-06 06:00:00+00:00,22360,4398,20611
2017-01-06 07:00:00+00:00,23162,5108,22325
2017-01-06 08:00:00+00:00,23559,5346,22898
2017-01-06 09:00:00+00:00,23716,5294,22703
2017-01-06 10:00:00+00:00,24039,5301,22461
2017-01-06 11:00:00+00:00,24067,5167,22266
2017-01-06 12:00:00+00:00,23922,4897,22049
2017-01-06 13:00:00+00:00,23660,4757,21883
2017-01-06 14:00:00+00:00,23599,4642,21757
2017-01-06 15:00:00+00:00,24108,4625,21709
2017-01-06 16:00:00+00:00,24489,4944,21776
2017-01-06 17:00:00+00:00,24397,5307,21588
2017-01-06 18:00:00+00:00,23855,5136,21067
2017-01-06 19:00:00+00:00,23195,4731,20798
2017-01-06 20:00:00+00:00,22306,4385,19966
2017-01-06 21:00:00+00:00,21476,4092,19392
