Time (CET);Day-ahead Total Load Forecast [MW] - Denmark (DK);Actual Total Load [MW] - Denmark (DK);Day-ahead Total Load Forecast [MW] - Norway (NO);Actual Total Load [MW] - Norway (NO);Day-ahead Total Load Forecast [MW] - Sweden (SE);Actual Total Load [MW] - Sweden (SE)
01.01.2018 00:00 - 01.01.2018 01:00;3422;3421;16990;16989;15220;15563
01.01.2018 01:00 - 01.01.2018 02:00;3289;3308;16763;16762;14965;15229
01.01.2018 02:00 - 01.01.2018 03:00;3157;3118;16509;16509;14723;15259
01.01.2018 03:00 - 01.01.2018 04:00;3025;3018;16109;16109;14563;15026
01.01.2018 04:00 - 01.01.2018 05:00;2939;2916;16153;16152;14525;14844
01.01.2018 05:00 - 01.01.2018 06:00;2873;2802;16205;16205;14651;15033
01.01.2018 06:00 - 01.01.2018 07:00;2865;2844;16567;16566;14923;15298
01.01.2018 07:00 - 01.01.2018 08:00;2973;2951;16866;16866;15180;15539
01.01.2018 08:00 - 01.01.2018 09:00;3013;3011;17173;17174;15389;15766
01.01.2018 09:00 - 01.01.2018 10:00;3216;3239;17420;17420;15616;16082
01.01.2018 10:00 - 01.01.2018 11:00;3440;3445;17805;17805;16044;16602
01.01.2018 11:00 - 01.01.2018 12:00;3576;3582;18103;18103;16445;16815
01.01.2018 12:00 - 01.01.2018 13:00;3639;3648;18276;18276;16623;17066
01.01.2018 13:00 - 01.01.2018 14:00;3626;3604;18407;18408;16773;17160
01.01.2018 14:00 - 01.01.2018 15:00;3658;3743;18453;18453;17007;17423
01.01.2018 15:00 - 01.01.2018 16:00;3819;3733;18638;18638;17531;17940
01.01.2018 16:00 - 01.01.2018 17:00;3989;3986;18821;18820;17980;18351
01.01.2018 17:00 - 01.01.2018 18:00;4300;4270;18723;18723;18068;18432
01.01.2018 18:00 - 01.01.2018 19:00;4185;4183;18550;18550;17857;18196
01.01.2018 19:00 - 01.01.2018 20:00;3946;3951;18317;18317;17491;17920
01.01.2018 20:00 - 01.01.2018 21:00;3736;3721;18121;18121;17015;17445
01.01.2018 21:00 - 01.01.2018 22:00;3533;3477;17774;17774;16483;16800
01.01.2018 22:00 - 01.01.2018 23:00;3329;3265;17182;17197;15890;16320
01.01.2018 23:00 - 02.01.2018 00:00;3192;3067;16848;16690;15345;15496
02.01.2018 00:00 - 02.01.2018 01:00;2929;2889;16195;16195;15289;14934
02.01.2018 01:00 - 02.01.2018 02:00;2817;2825;15898;15899;14968;14628
02.01.2018 02:00 - 02.01.2018 03:00;2798;2780;15813;15814;14879;14524
02.01.2018 03:00 - 02.01.2018 04:00;2836;2793;15908;15909;14875;14667
02.01.2018 04:00 - 02.01.2018 05:00;2921;2908;16109;16109;15054;15629
02.01.2018 05:00 - 02.01.2018 06:00;3076;3101;16493;16493;15703;16426
02.01.2018 06:00 - 02.01.2018 07:00;3575;3648;17890;17890;17015;16859
02.01.2018 07:00 - 02.01.2018 08:00;4276;4226;19452;19451;18341;18792
02.01.2018 08:00 - 02.01.2018 09:00;4601;4596;19979;19978;18996;19284
02.01.2018 09:00 - 02.01.2018 10:00;4678;4694;20049;20046;19142;19374
02.01.2018 10:00 - 02.01.2018 11:00;4775;4773;20390;20385;19358;19799
02.01.2018 11:00 - 02.01.2018 12:00;4768;4735;20419;20417;19404;19915
02.01.2018 12:00 - 02.01.2018 13:00;4673;4638;20481;20479;19315;19881
02.01.2018 13:00 - 02.01.2018 14:00;4566;4632;20464;20463;19262;19743
02.01.2018 14:00 - 02.01.2018 15:00;4561;4617;20147;20147;19363;19846
02.01.2018 15:00 - 02.01.2018 16:00;4567;4597;20420;20420;19833;20361
02.01.2018 16:00 - 02.01.2018 17:00;4858;4917;20709;20709;20101;20540
02.01.2018 17:00 - 02.01.2018 18:00;5233;5276;20644;20644;20147;20741
02.01.2018 18:00 - 02.01.2018 19:00;5065;5018;20330;20329;19815;20642
02.01.2018 19:00 - 02.01.2018 20:00;4629;4640;20119;20119;19383;19918
02.01.2018 20:00 - 02.01.2018 21:00;4223;4300;19746;19746;18788;18988
02.01.2018 21:00 - 02.01.2018 22:00;3932;4045;19355;19355;18102;18278
02.01.2018 22:00 - 02.01.2018 23:00;3673;3733;18503;18503;17307;17253
02.01.2018 23:00 - 03.01.2018 00:00;3368;3449;18271;17875;16529;16480
03.01.2018 00:00 - 03.01.2018 01:00;3122;3269;17267;17267;15669;15756
03.01.2018 01:00 - 03.01.2018 02:00;3036;3147;16947;16947;15332;15387
03.01.2018 02:00 - 03.01.2018 03:00;3016;3009;16877;16877;15230;15362
03.01.2018 03:00 - 03.01.2018 04:00;3022;2960;16902;16903;15246;15220
