"Time (CET)","Day-ahead Total Load Forecast [MW] - Sweden (SE)","Actual Total Load [MW] - Sweden (SE)"
"01.01.2018 00:00 - 01.01.2018 01:00","15220","15563"
"01.01.2018 01:00 - 01.01.2018 02:00","14965","15229"
"01.01.2018 02:00 - 01.01.2018 03:00","14723","15259"
"01.01.2018 03:00 - 01.01.2018 04:00","14563","15026"
"01.01.2018 04:00 - 01.01.2018 05:00","14525","14844"
"01.01.2018 05:00 - 01.01.2018 06:00","14651","15033"
"01.01.2018 06:00 - 01.01.2018 07:00","14923","15298"
"01.01.2018 07:00 - 01.01.2018 08:00","15180","15539"
"01.01.2018 08:00 - 01.01.2018 09:00","15389","15766"
"01.01.2018 09:00 - 01.01.2018 10:00","15616","16082"
"01.01.2018 10:00 - 01.01.2018 11:00","16044","16602"
"01.01.2018 11:00 - 01.01.2018 12:00","16445","16815"
"01.01.2018 12:00 - 01.01.2018 13:00","16623","17066"
"01.01.2018 13:00 - 01.01.2018 14:00","16773","17160"
"01.01.2018 14:00 - 01.01.2018 15:00","17007","17423"
"01.01.2018 15:00 - 01.01.2018 16:00","17531","17940"
"01.01.2018 16:00 - 01.01.2018 17:00","17980","18351"
"01.01.2018 17:00 - 01.01.2018 18:00","18068","18432"
"01.01.2018 18:00 - 01.01.2018 19:00","17857","18196"
"01.01.2018 19:00 - 01.01.2018 20:00","17491","17920"
"01.01.2018 20:00 - 01.01.2018 21:00","17015","17445"
"01.01.2018 21:00 - 01.01.2018 22:00","16483","16800"
"01.01.2018 22:00 - 01.01.2018 23:00","15890","16320"
"01.01.2018 23:00 - 02.01.2018 00:00","15345","15496"
"02.01.2018 00:00 - 02.01.2018 01:00","15289","14934"
"02.01.2018 01:00 - 02.01.2018 02:00","14968","14628"
"02.01.2018 02:00 - 02.01.2018 03:00","14879","14524"
"02.01.2018 03:00 - 02.01.2018 04:00","14875","14667"
"02.01.2018 04:00 - 02.01.2018 05:00","15054","15629"
"02.01.2018 05:00 - 02.01.2018 06:00","15703","16426"
"02.01.2018 06:00 - 02.01.2018 07:00","17015","16859"
"02.01.2018 07:00 - 02.01.2018 08:00","18341","18792"
"02.01.2018 08:00 - 02.01.2018 09:00","18996","19284"
"02.01.2018 09:00 - 02.01.2018 10:00","19142","19374"
"02.01.2018 10:00 - 02.01.2018 11:00","19358","19799"
"02.01.2018 11:00 - 02.01.2018 12:00","19404","19915"
"02.01.2018 12:00 - 02.01.2018 13:00","19315","19881"
"02.01.2018 13:00 - 02.01.2018 14:00","19262","19743"
"02.01.2018 14:00 - 02.01.2018 15:00","19363","19846"
"02.01.2018 15:00 - 02.01.2018 16:00","19833","20361"
"02.01.2018 16:00 - 02.01.2018 17:00","20101","20540"
"02.01.2018 17:00 - 02.01.2018 18:00","20147","20741"
"02.01.2018 18:00 - 02.01.2018 19:00","19815","20642"
"02.01.2018 19:00 - 02.01.2018 20:00","19383","19918"
"02.01.2018 20:00 - 02.01.2018 21:00","18788","18988"
"02.01.2018 21:00 - 02.01.2018 22:00","18102","18278"
"02.01.2018 22:00 - 02.01.2018 23:00","17307","17253"
"02.01.2018 23:00 - 03.01.2018 00:00","16529","16480"
"03.01.2018 00:00 - 03.01.2018 01:00","15669","15756"
"03.01.2018 01:00 - 03.01.2018 02:00","15332","15387"
"03.01.2018 02:00 - 03.01.2018 03:00","15230","15362"
"03.01.2018 03:00 - 03.01.2018 04:00","15246","15220"
"03.01.2018 04:00 - 03.01.2018 05:00","15436","15365"
"03.01.2018 05:00 - 03.01.2018 06:00","16163","15869"
"03.01.2018 06:00 - 03.01.2018 07:00","17510","17343"
"03.01.2018 07:00 - 03.01.2018 08:00","18794","18561"
"03.01.2018 08:00 - 03.01.2018 09:00","19630","19286"
"03.01.2018 09:00 - 03.01.2018 10:00","20062","19485"
"03.01.2018 10:00 - 03.01.2018 11:00","20311","20175"
"03.01.2018 11:00 - 03.01.2018 12:00","20443","20147"
"03.01.2018 12:00 - 03.01.2018 13:00","20396","20369"
"03.01.2018 13:00 - 03.01.2018 14:00","20372","20484"
"03.01.2018 14:00 - 03.01.2018 15:00","20439","20884"
"03.01.2018 15:00 - 03.01.2018 16:00","20815","21123"
"03.01.2018 16:00 - 03.01.2018 17:00","21005","21419"
"03.01.2018 17:00 - 03.01.2018 18:00","20969","21465"
"03.01.2018 18:00 - 03.01.2018 19:00","20573","21104"
"03.01.2018 19:00 - 03.01.2018 20:00","20108","20550"
"03.01.2018 20:00 - 03.01.2018 21:00","19462","19776"
"03.01.2018 21:00 - 03.01.2018 22:00","18740","18875"
"03.01.2018 22:00 - 03.01.2018 23:00","17916","18172"
"03.01.2018 23:00 - 04.01.2018 00:00","17089","17205"
"04.01.2018 00:00 - 04.01.2018 01:00","15713","16231"
"04.01.2018 01:00 - 04.01.2018 02:00","15313","16075"
"04.01.2018 02:00 - 04.01.2018 03:00","15170","15853"
"04.01.2018 03:00 - 04.01.2018 04:00","15175","15679"
"04.01.2018 04:00 - 04.01.2018 05:00","15339","15798"
"04.01.2018 05:00 - 04.01.2018 06:00","16012","16708"
"04.01.2018 06:00 - 04.01.2018 07:00","17250","18192"
"04.01.2018 07:00 - 04.01.2018 08:00","18531","20388"
"04.01.2018 08:00 - 04.01.2018 09:00","19422","20864"
"04.01.2018 09:00 - 04.01.2018 10:00","19831","20568"
"04.01.2018 10:00 - 04.01.2018 11:00","20085","21098"
"04.01.2018 11:00 - 04.01.2018 12:00","20256","21118"
"04.01.2018 12:00 - 04.01.2018 13:00","20252","21528"
"04.01.2018 13:00 - 04.01.2018 14:00","20237","21410"
"04.01.2018 14:00 - 04.01.2018 15:00","20267","21313"
"04.01.2018 15:00 - 04.01.2018 16:00","20587","21881"
"04.01.2018 16:00 - 04.01.2018 17:00","20840","21900"
"04.01.2018 17:00 - 04.01.2018 18:00","20847","22056"
"04.01.2018 18:00 - 04.01.2018 19:00","20533","21441"
"04.01.2018 19:00 - 04.01.2018 20:00","20110","21001"
"04.01.2018 20:00 - 04.01.2018 21:00","19439","20313"
"04.01.2018 21:00 - 04.01.2018 22:00","18674","19375"
"04.01.2018 22:00 - 04.01.2018 23:00","17858","18614"
"04.01.2018 23:00 - 05.01.2018 00:00","17007","17505"
"05.01.2018 00:00 - 05.01.2018 01:00","16171","16816"
"05.01.2018 01:00 - 05.01.2018 02:00","15904","16439"
"05.01.2018 02:00 - 05.01.2018 03:00","15789","16310"
"05.01.2018 03:00 - 05.01.2018 04:00","15811","16276"
"05.01.2018 04:00 - 05.01.2018 05:00","16015","16478"
"05.01.2018 05:00 - 05.01.2018 06:00","16706","16810"
"05.01.2018 06:00 - 05.01.2018 07:00","18125","18070"
"05.01.2018 07:00 - 05.01.2018 08:00","19492","19825"
"05.01.2018 08:00 - 05.01.2018 09:00","20203","20508"
"05.01.2018 09:00 - 05.01.2018 10:00","20391","20682"
"05.01.2018 10:00 - 05.01.2018 11:00","20552","21172"
"05.01.2018 11:00 - 05.01.2018 12:00","20595","21095"
"05.01.2018 12:00 - 05.01.2018 13:00","20466","21049"
"05.01.2018 13:00 - 05.01.2018 14:00","20291","20824"
"05.01.2018 14:00 - 05.01.2018 15:00","20344","20684"
"05.01.2018 15:00 - 05.01.2018 16:00","20725","21183"
"05.01.2018 16:00 - 05.01.2018 17:00","21194","21502"
"05.01.2018 17:00 - 05.01.2018 18:00","21211","21495"
"05.01.2018 18:00 - 05.01.2018 19:00","20831","21050"
"05.01.2018 19:00 - 05.01.2018 20:00","20284","20281"
"05.01.2018 20:00 - 05.01.2018 21:00","19644","19368"
"05.01.2018 21:00 - 05.01.2018 22:00","18933","18755"
"05.01.2018 22:00 - 05.01.2018 23:00","18137","17890"
"05.01.2018 23:00 - 06.01.2018 00:00","17383","17286"
"06.01.2018 00:00 - 06.01.2018 01:00","16795","16476"
"06.01.2018 01:00 - 06.01.2018 02:00","16466","16211"
"06.01.2018 02:00 - 06.01.2018 03:00","16260","16066"
"06.01.2018 03:00 - 06.01.2018 04:00","16256","16130"
"06.01.2018 04:00 - 06.01.2018 05:00","16489","16257"
