"Time (CET)","Day-ahead Total Load Forecast [MW] - Denmark (DK)","Actual Total Load [MW] - Denmark (DK)"
"01.01.2017 00:00 - 01.01.2017 01:00","2942","2812"
"01.01.2017 01:00 - 01.01.2017 02:00","2735","2743"
"01.01.2017 02:00 - 01.01.2017 03:00","2646","2595"
"01.01.2017 03:00 - 01.01.2017 04:00","2531","2494"
"01.01.2017 04:00 - 01.01.2017 05:00","2446","2482"
"01.01.2017 05:00 - 01.01.2017 06:00","2520","2484"
"01.01.2017 06:00 - 01.01.2017 07:00","2617","2527"
"01.01.2017 07:00 - 01.01.2017 08:00","2647","2633"
"01.01.2017 08:00 - 01.01.2017 09:00","2733","2755"
"01.01.2017 09:00 - 01.01.2017 10:00","2918","2923"
"01.01.2017 10:00 - 01.01.2017 11:00","3154","3161"
"01.01.2017 11:00 - 01.01.2017 12:00","3313","3318"
"01.01.2017 12:00 - 01.01.2017 13:00","3374","3380"
"01.01.2017 13:00 - 01.01.2017 14:00","3365","3361"
"01.01.2017 14:00 - 01.01.2017 15:00","3394","3386"
"01.01.2017 15:00 - 01.01.2017 16:00","3464","3469"
"01.01.2017 16:00 - 01.01.2017 17:00","3769","3773"
"01.01.2017 17:00 - 01.01.2017 18:00","4079","4104"
"01.01.2017 18:00 - 01.01.2017 19:00","4023","4032"
"01.01.2017 19:00 - 01.01.2017 20:00","3803","3821"
"01.01.2017 20:00 - 01.01.2017 21:00","3558","3545"
"01.01.2017 21:00 - 01.01.2017 22:00","3332","3317"
"01.01.2017 22:00 - 01.01.2017 23:00","3099","3082"
"01.01.2017 23:00 - 02.01.2017 00:00","2936","2820"
"02.01.2017 00:00 - 02.01.2017 01:00","2744","2647"
"02.01.2017 01:00 - 02.01.2017 02:00","2626","2538"
"02.01.2017 02:00 - 02.01.2017 03:00","2631","2528"
"02.01.2017 03:00 - 02.01.2017 04:00","2677","2537"
"02.01.2017 04:00 - 02.01.2017 05:00","2759","2657"
"02.01.2017 05:00 - 02.01.2017 06:00","3013","2928"
"02.01.2017 06:00 - 02.01.2017 07:00","3617","3556"
"02.01.2017 07:00 - 02.01.2017 08:00","4289","4270"
"02.01.2017 08:00 - 02.01.2017 09:00","4626","4631"
"02.01.2017 09:00 - 02.01.2017 10:00","4721","4694"
"02.01.2017 10:00 - 02.01.2017 11:00","4814","4758"
"02.01.2017 11:00 - 02.01.2017 12:00","4742","4671"
"02.01.2017 12:00 - 02.01.2017 13:00","4630","4514"
"02.01.2017 13:00 - 02.01.2017 14:00","4564","4524"
"02.01.2017 14:00 - 02.01.2017 15:00","4520","4467"
"02.01.2017 15:00 - 02.01.2017 16:00","4498","4473"
"02.01.2017 16:00 - 02.01.2017 17:00","4782","4795"
"02.01.2017 17:00 - 02.01.2017 18:00","5191","5234"
"02.01.2017 18:00 - 02.01.2017 19:00","5013","5006"
"02.01.2017 19:00 - 02.01.2017 20:00","4666","4684"
"02.01.2017 20:00 - 02.01.2017 21:00","4279","4356"
"02.01.2017 21:00 - 02.01.2017 22:00","3983","4077"
"02.01.2017 22:00 - 02.01.2017 23:00","3635","3727"
"02.01.2017 23:00 - 03.01.2017 00:00","3294","3444"
"03.01.2017 00:00 - 03.01.2017 01:00","3178","3172"
"03.01.2017 01:00 - 03.01.2017 02:00","3049","2998"
"03.01.2017 02:00 - 03.01.2017 03:00","2973","2866"
"03.01.2017 03:00 - 03.01.2017 04:00","2895","2853"
"03.01.2017 04:00 - 03.01.2017 05:00","2944","2910"
"03.01.2017 05:00 - 03.01.2017 06:00","3166","3108"
"03.01.2017 06:00 - 03.01.2017 07:00","3740","3653"
"03.01.2017 07:00 - 03.01.2017 08:00","4365","4325"
"03.01.2017 08:00 - 03.01.2017 09:00","4716","4752"
"03.01.2017 09:00 - 03.01.2017 10:00","4768","4844"
"03.01.2017 10:00 - 03.01.2017 11:00","4845","4866"
"03.01.2017 11:00 - 03.01.2017 12:00","4829","4729"
"03.01.2017 12:00 - 03.01.2017 13:00","4696","4669"
"03.01.2017 13:00 - 03.01.2017 14:00","4620","4626"
"03.01.2017 14:00 - 03.01.2017 15:00","4542","4568"
"03.01.2017 15:00 - 03.01.2017 16:00","4481","4457"
"03.01.2017 16:00 - 03.01.2017 17:00","4701","4666"
"03.01.2017 17:00 - 03.01.2017 18:00","5007","4948"
"03.01.2017 18:00 - 03.01.2017 19:00","4750","4716"
"03.01.2017 19:00 - 03.01.2017 20:00","4475","4441"
"03.01.2017 20:00 - 03.01.2017 21:00","4152","4116"
"03.01.2017 21:00 - 03.01.2017 22:00","3828","3810"
"03.01.2017 22:00 - 03.01.2017 23:00","3469","3438"
"03.01.2017 23:00 - 04.01.2017 00:00","3162","3172"
"04.01.2017 00:00 - 04.01.2017 01:00","2982","3058"
"04.01.2017 01:00 - 04.01.2017 02:00","2942","2846"
"04.01.2017 02:00 - 04.01.2017 03:00","2919","2878"
"04.01.2017 03:00 - 04.01.2017 04:00","2913","2886"
"04.01.2017 04:00 - 04.01.2017 05:00","2937","2858"
"04.01.2017 05:00 - 04.01.2017 06:00","3093","3036"
"04.01.2017 06:00 - 04.01.2017 07:00","3670","3658"
"04.01.2017 07:00 - 04.01.2017 08:00","4359","4363"
"04.01.2017 08:00 - 04.01.2017 09:00","4641","4639"
"04.01.2017 09:00 - 04.01.2017 10:00","4644","4588"
"04.01.2017 10:00 - 04.01.2017 11:00","4676","4648"
"04.01.2017 11:00 - 04.01.2017 12:00","4661","4611"
"04.01.2017 12:00 - 04.01.2017 13:00","4565","4490"
"04.01.2017 13:00 - 04.01.2017 14:00","4510","4497"
"04.01.2017 14:00 - 04.01.2017 15:00","4470","4485"
"04.01.2017 15:00 - 04.01.2017 16:00","4469","4457"
"04.01.2017 16:00 - 04.01.2017 17:00","4649","4687"
"04.01.2017 17:00 - 04.01.2017 18:00","5073","5103"
"04.01.2017 18:00 - 04.01.2017 19:00","4909","4914"
"04.01.2017 19:00 - 04.01.2017 20:00","4585","4620"
"04.01.2017 20:00 - 04.01.2017 21:00","4315","4340"
"04.01.2017 21:00 - 04.01.2017 22:00","4091","4087"
"04.01.2017 22:00 - 04.01.2017 23:00","3734","3732"
"04.01.2017 23:00 - 05.01.2017 00:00","3393","3427"
"05.01.2017 00:00 - 05.01.2017 01:00","3236","3315"
"05.01.2017 01:00 - 05.01.2017 02:00","3139","3123"
"05.01.2017 02:00 - 05.01.2017 03:00","3075","3057"
"05.01.2017 03:00 - 05.01.2017 04:00","3049","3065"
"05.01.2017 04:00 - 05.01.2017 05:00","3169","3174"
"05.01.2017 05:00 - 05.01.2017 06:00","3431","3421"
"05.01.2017 06:00 - 05.01.2017 07:00","4078","4064"
"05.01.2017 07:00 - 05.01.2017 08:00","4807","4873"
"05.01.2017 08:00 - 05.01.2017 09:00","5118","5143"
"05.01.2017 09:00 - 05.01.2017 10:00","5120","5143"
"05.01.2017 10:00 - 05.01.2017 11:00","5185","5186"
"05.01.2017 11:00 - 05.01.2017 12:00","5172","5133"
"05.01.2017 12:00 - 05.01.2017 13:00","5027","5015"
"05.01.2017 13:00 - 05.01.2017 14:00","5004","5014"
"05.01.2017 14:00 - 05.01.2017 15:00","4972","4977"
"05.01.2017 15:00 - 05.01.2017 16:00","4952","4970"
"05.01.2017 16:00 - 05.01.2017 17:00","5184","5259"
"05.01.2017 17:00 - 05.01.2017 18:00","5625","5711"
"05.01.2017 18:00 - 05.01.2017 19:00","5464","5507"
"05.01.2017 19:00 - 05.01.2017 20:00","5134","5166"
"05.01.2017 20:00 - 05.01.2017 21:00","4818","4842"
"05.01.2017 21:00 - 05.01.2017 22:00","4514","4543"
"05.01.2017 22:00 - 05.01.2017 23:00","4175","4212"
"05.01.2017 23:00 - 06.01.2017 00:00","3785","3877"
"06.01.2017 00:00 - 06.01.2017 01:00","3587","3645"
"06.01.2017 01:00 - 06.01.2017 02:00","3491","3535"
"06.01.2017 02:00 - 06.01.2017 03:00","3473","3479"
"06.01.2017 03:00 - 06.01.2017 04:00","3467","3482"
"06.01.2017 04:00 - 06.01.2017 05:00","3544","3548"
"06.01.2017 05:00 - 06.01.2017 06:00","3768","3777"
"06.01.2017 06:00 - 06.01.2017 07:00","4359","4398"
"06.01.2017 07:00 - 06.01.2017 08:00","5085","5108"
"06.01.2017 08:00 - 06.01.2017 09:00","5379","5346"
"06.01.2017 09:00 - 06.01.2017 10:00","5324","5294"
"06.01.2017 10:00 - 06.01.2017 11:00","5348","5301"
"06.01.2017 11:00 - 06.01.2017 12:00","5240","5167"
"06.01.2017 12:00 - 06.01.2017 13:00","5020","4897"
"06.01.2017 13:00 - 06.01.2017 14:00","4844","4757"
"06.01.2017 14:00 - 06.01.2017 15:00","4746","4642"
"06.01.2017 15:00 - 06.01.2017 16:00","4674","4625"
"06.01.2017 16:00 - 06.01.2017 17:00","4916","4944"
"06.01.2017 17:00 - 06.01.2017 18:00","5308","5307"
"06.01.2017 18:00 - 06.01.2017 19:00","5111","5136"
"06.01.2017 19:00 - 06.01.2017 20:00","4730","4731"
"06.01.2017 20:00 - 06.01.2017 21:00","4400","4385"
"06.01.2017 21:00 - 06.01.2017 22:00","4134","4092"
"06.01.2017 22:00 - 06.01.2017 23:00","3818","3765"
"06.01.2017 23:00 - 07.01.2017 00:00","3508","3443"
"07.01.2017 00:00 - 07.01.2017 01:00","3215","3233"
"07.01.2017 01:00 - 07.01.2017 02:00","3041","3081"
"07.01.2017 02:00 - 07.01.2017 03:00","2961","2997"
"07.01.2017 03:00 - 07.01.2017 04:00","2944","2977"
"07.01.2017 04:00 - 07.01.2017 05:00","3002","3022"
"07.01.2017 05:00 - 07.01.2017 06:00","3107","3088"
"07.01.2017 06:00 - 07.01.2017 07:00","3253","3263"
"07.01.2017 07:00 - 07.01.2017 08:00","3567","3568"
"07.01.2017 08:00 - 07.01.2017 09:00","3896","3912"
"07.01.2017 09:00 - 07.01.2017 10:00","4137","4138"
"07.01.2017 10:00 - 07.01.2017 11:00","4255","4226"
"07.01.2017 11:00 - 07.01.2017 12:00","4237","4208"
"07.01.2017 12:00 - 07.01.2017 13:00","4132","4154"
"07.01.2017 13:00 - 07.01.2017 14:00","4060","4073"
"07.01.2017 14:00 - 07.01.2017 15:00","4040","4051"
"07.01.2017 15:00 - 07.01.2017 16:00","4087","4110"
"07.01.2017 16:00 - 07.01.2017 17:00","4409","4382"
"07.01.2017 17:00 - 07.01.2017 18:00","4813","4739"
"07.01.2017 18:00 - 07.01.2017 19:00","4678","4634"
"07.01.2017 19:00 - 07.01.2017 20:00","4331","4260"
"07.01.2017 20:00 - 07.01.2017 21:00","4049","3983"
"07.01.2017 21:00 - 07.01.2017 22:00","3806","3764"
"07.01.2017 22:00 - 07.01.2017 23:00","3558","3542"
"07.01.2017 23:00 - 08.01.2017 00:00","3323","3340"
"08.01.2017 00:00 - 08.01.2017 01:00","3138","3153"
