"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2017 00:00 - 01.01.2017 00:15","40241","44712"
"01.01.2017 00:15 - 01.01.2017 00:30","39805","44637"
"01.01.2017 00:30 - 01.01.2017 00:45","39023","44484"
"01.01.2017 00:45 - 01.01.2017 01:00","38682","44214"
"01.01.2017 01:00 - 01.01.2017 01:15","38162","43632"
"01.01.2017 01:15 - 01.01.2017 01:30","37744","43275"
"01.01.2017 01:30 - 01.01.2017 01:45","37604","43087"
"01.01.2017 01:45 - 01.01.2017 02:00","37229","42815"
"01.01.2017 02:00 - 01.01.2017 02:15","36989","42646"
"01.01.2017 02:15 - 01.01.2017 02:30","37036","42386"
"01.01.2017 02:30 - 01.01.2017 02:45","36874","41833"
"01.01.2017 02:45 - 01.01.2017 03:00","36465","41392"
"01.01.2017 03:00 - 01.01.2017 03:15","36507","40845"
"01.01.2017 03:15 - 01.01.2017 03:30","36698","40534"
"01.01.2017 03:30 - 01.01.2017 03:45","36746","40429"
"01.01.2017 03:45 - 01.01.2017 04:00","36758","40283"
"01.01.2017 04:00 - 01.01.2017 04:15","36884","40281"
"01.01.2017 04:15 - 01.01.2017 04:30","36897","39926"
"01.01.2017 04:30 - 01.01.2017 04:45","36482","39659"
"01.01.2017 04:45 - 01.01.2017 05:00","36761","39305"
"01.01.2017 05:00 - 01.01.2017 05:15","36964","39008"
"01.01.2017 05:15 - 01.01.2017 05:30","36308","38662"
"01.01.2017 05:30 - 01.01.2017 05:45","36218","38333"
"01.01.2017 05:45 - 01.01.2017 06:00","35579","38212"
"01.01.2017 06:00 - 01.01.2017 06:15","35256","36933"
"01.01.2017 06:15 - 01.01.2017 06:30","34851","37511"
"01.01.2017 06:30 - 01.01.2017 06:45","34967","37550"
"01.01.2017 06:45 - 01.01.2017 07:00","34374","37598"
"01.01.2017 07:00 - 01.01.2017 07:15","36200","37879"
"01.01.2017 07:15 - 01.01.2017 07:30","36747","37933"
"01.01.2017 07:30 - 01.01.2017 07:45","36679","38098"
"01.01.2017 07:45 - 01.01.2017 08:00","37327","38254"
"01.01.2017 08:00 - 01.01.2017 08:15","39011","38314"
"01.01.2017 08:15 - 01.01.2017 08:30","39682","38232"
"01.01.2017 08:30 - 01.01.2017 08:45","39769","38649"
"01.01.2017 08:45 - 01.01.2017 09:00","40747","39479"
"01.01.2017 09:00 - 01.01.2017 09:15","42092","40460"
"01.01.2017 09:15 - 01.01.2017 09:30","42766","41509"
"01.01.2017 09:30 - 01.01.2017 09:45","43446","42247"
"01.01.2017 09:45 - 01.01.2017 10:00","44193","42880"
"01.01.2017 10:00 - 01.01.2017 10:15","44481","43853"
"01.01.2017 10:15 - 01.01.2017 10:30","46216","44655"
"01.01.2017 10:30 - 01.01.2017 10:45","46126","44987"
"01.01.2017 10:45 - 01.01.2017 11:00","47308","45506"
"01.01.2017 11:00 - 01.01.2017 11:15","47438","46369"
"01.01.2017 11:15 - 01.01.2017 11:30","48093","46992"
"01.01.2017 11:30 - 01.01.2017 11:45","48639","47710"
"01.01.2017 11:45 - 01.01.2017 12:00","49133","47899"
"01.01.2017 12:00 - 01.01.2017 12:15","48968","48066"
"01.01.2017 12:15 - 01.01.2017 12:30","48865","48204"
"01.01.2017 12:30 - 01.01.2017 12:45","48466","42042"
"01.01.2017 12:45 - 01.01.2017 13:00","47846","41278"
"01.01.2017 13:00 - 01.01.2017 13:15","47403","40993"
"01.01.2017 13:15 - 01.01.2017 13:30","47122","40837"
"01.01.2017 13:30 - 01.01.2017 13:45","46535","40917"
"01.01.2017 13:45 - 01.01.2017 14:00","46272","40546"
"01.01.2017 14:00 - 01.01.2017 14:15","45965","40872"
"01.01.2017 14:15 - 01.01.2017 14:30","45423","41195"
"01.01.2017 14:30 - 01.01.2017 14:45","46890","41277"
"01.01.2017 14:45 - 01.01.2017 15:00","45206","40899"
"01.01.2017 15:00 - 01.01.2017 15:15","46105","41434"
"01.01.2017 15:15 - 01.01.2017 15:30","45645","41529"
"01.01.2017 15:30 - 01.01.2017 15:45","45496","41899"
"01.01.2017 15:45 - 01.01.2017 16:00","46408","42074"
"01.01.2017 16:00 - 01.01.2017 16:15","46548","43034"
"01.01.2017 16:15 - 01.01.2017 16:30","47301","43155"
"01.01.2017 16:30 - 01.01.2017 16:45","48800","44058"
"01.01.2017 16:45 - 01.01.2017 17:00","48730","45273"
"01.01.2017 17:00 - 01.01.2017 17:15","50348","46861"
"01.01.2017 17:15 - 01.01.2017 17:30","50722","47867"
"01.01.2017 17:30 - 01.01.2017 17:45","51784","48017"
"01.01.2017 17:45 - 01.01.2017 18:00","51005","48025"
"01.01.2017 18:00 - 01.01.2017 18:15","50647","48322"
"01.01.2017 18:15 - 01.01.2017 18:30","51654","48462"
