"Time (CET)","Day-ahead Total Load Forecast [MW] - Norway (NO)","Actual Total Load [MW] - Norway (NO)"
"01.01.2018 00:00 - 01.01.2018 01:00","16990","16989"
"01.01.2018 01:00 - 01.01.2018 02:00","16763","16762"
"01.01.2018 02:00 - 01.01.2018 03:00","16509","16509"
"01.01.2018 03:00 - 01.01.2018 04:00","16109","16109"
"01.01.2018 04:00 - 01.01.2018 05:00","16153","16152"
"01.01.2018 05:00 - 01.01.2018 06:00","16205","16205"
"01.01.2018 06:00 - 01.01.2018 07:00","16567","16566"
"01.01.2018 07:00 - 01.01.2018 08:00","16866","16866"
"01.01.2018 08:00 - 01.01.2018 09:00","17173","17174"
"01.01.2018 09:00 - 01.01.2018 10:00","17420","17420"
"01.01.2018 10:00 - 01.01.2018 11:00","17805","17805"
"01.01.2018 11:00 - 01.01.2018 12:00","18103","18103"
"01.01.2018 12:00 - 01.01.2018 13:00","18276","18276"
"01.01.2018 13:00 - 01.01.2018 14:00","18407","18408"
"01.01.2018 14:00 - 01.01.2018 15:00","18453","18453"
"01.01.2018 15:00 - 01.01.2018 16:00","18638","18638"
"01.01.2018 16:00 - 01.01.2018 17:00","18821","18820"
"01.01.2018 17:00 - 01.01.2018 18:00","18723","18723"
"01.01.2018 18:00 - 01.01.2018 19:00","18550","18550"
"01.01.2018 19:00 - 01.01.2018 20:00","18317","18317"
"01.01.2018 20:00 - 01.01.2018 21:00","18121","18121"
"01.01.2018 21:00 - 01.01.2018 22:00","17774","17774"
"01.01.2018 22:00 - 01.01.2018 23:00","17182","17197"
"01.01.2018 23:00 - 02.01.2018 00:00","16848","16690"
"02.01.2018 00:00 - 02.01.2018 01:00","16195","16195"
"02.01.2018 01:00 - 02.01.2018 02:00","15898","15899"
"02.01.2018 02:00 - 02.01.2018 03:00","15813","15814"
"02.01.2018 03:00 - 02.01.2018 04:00","15908","15909"
"02.01.2018 04:00 - 02.01.2018 05:00","16109","16109"
"02.01.2018 05:00 - 02.01.2018 06:00","16493","16493"
"02.01.2018 06:00 - 02.01.2018 07:00","17890","17890"
"02.01.2018 07:00 - 02.01.2018 08:00","19452","19451"
"02.01.2018 08:00 - 02.01.2018 09:00","19979","19978"
"02.01.2018 09:00 - 02.01.2018 10:00","20049","20046"
"02.01.2018 10:00 - 02.01.2018 11:00","20390","20385"
"02.01.2018 11:00 - 02.01.2018 12:00","20419","20417"
"02.01.2018 12:00 - 02.01.2018 13:00","20481","20479"
"02.01.2018 13:00 - 02.01.2018 14:00","20464","20463"
"02.01.2018 14:00 - 02.01.2018 15:00","20147","20147"
"02.01.2018 15:00 - 02.01.2018 16:00","20420","20420"
"02.01.2018 16:00 - 02.01.2018 17:00","20709","20709"
"02.01.2018 17:00 - 02.01.2018 18:00","20644","20644"
